Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2016-04-01 00:10:00, WM01, 6.4816, 5.184, 7.9779, 0.5004, 6.4666, 5.1865, 7.9828, 0.5015, 6.0507, 4.5744, 7.6758, 0.5291, 5.1863, 3.9557, 7.0934, 0.551, 4.446, 3.0273, 6.1744, 0.6332, 172.63, 166.63, 181.63, 2.964, 173.23, 160.83, 189.83, 4.564, 14.56, 14.45, 14.66, 0.0307, -0.281, -0.359, -0.216, 0.026, 997.0, 996.9, 997.1, 0.0422, 88.6, 88.3, 88.9, 0.0863, 
2016-04-01 00:20:00, WM01, 6.1339, 4.8736, 7.357, 0.5265, 6.0938, 4.8758, 7.3614, 0.5182, 5.5172, 4.2643, 7.0556, 0.4913, 4.5412, 3.0144, 6.1521, 0.6131, 3.7807, 2.3979, 5.2302, 0.5703, 177.63, 164.43, 187.83, 3.676, 179.73, 161.53, 194.53, 5.347, 14.47, 14.38, 14.57, 0.0366, -0.18, -0.287, -0.072, 0.077, 997.0, 996.9, 997.1, 0.0508, 89.0, 88.5, 89.2, 0.1616, 
2016-04-01 00:30:00, WM01, 6.1712, 4.8736, 7.357, 0.4439, 6.1373, 5.1865, 7.3614, 0.4319, 5.6227, 4.5744, 6.7454, 0.4063, 4.6083, 3.3282, 5.5245, 0.4349, 3.8317, 2.7126, 4.9155, 0.484, 177.23, 167.53, 188.43, 2.999, 180.63, 167.63, 200.93, 4.738, 14.41, 14.28, 14.5, 0.0434, -0.083, -0.216, -0.072, 0.028, 996.9, 996.8, 997.1, 0.0576, 89.4, 89.0, 89.9, 0.2237, 
2016-04-01 00:40:00, WM01, 5.9477, 4.2527, 7.357, 0.6029, 5.9011, 4.2545, 7.0507, 0.6133, 5.4366, 3.644, 7.0556, 0.6898, 4.4766, 3.0144, 6.4658, 0.6677, 3.7889, 2.3979, 5.545, 0.5948, 178.53, 164.83, 191.43, 5.192, 181.03, 161.93, 200.23, 6.788, 14.41, 14.32, 14.49, 0.0318, -0.088, -0.18, 0.0, 0.029, 996.8, 996.7, 996.9, 0.0449, 89.8, 89.6, 90.0, 0.0685, 
2016-04-01 00:50:00, WM01, 5.4137, 4.2527, 6.7362, 0.4756, 5.3792, 4.2545, 6.74, 0.4921, 4.923, 3.644, 6.7454, 0.5241, 4.2613, 3.0144, 6.1521, 0.6118, 3.6863, 2.0831, 5.8597, 0.6131, 174.53, 155.53, 191.03, 4.709, 174.73, 157.73, 192.53, 5.421, 14.4, 14.32, 14.49, 0.0312, -0.205, -0.287, -0.072, 0.079, 996.8, 996.7, 996.9, 0.0603, 90.0, 89.7, 90.4, 0.1782, 
2016-04-01 01:00:00, WM01, 5.4634, 4.2527, 6.4257, 0.3986, 5.4413, 4.2545, 6.4293, 0.394, 5.0005, 3.644, 6.1251, 0.4336, 4.1553, 2.7006, 5.5245, 0.4819, 3.4729, 2.3979, 5.2302, 0.513, 174.53, 163.63, 188.23, 4.3, 174.23, 161.63, 186.93, 4.587, 14.4, 14.3, 14.49, 0.0314, -0.052, -0.108, 0.0, 0.033, 996.7, 996.7, 996.9, 0.0431, 90.5, 90.1, 90.7, 0.1033, 
2016-04-01 01:10:00, WM01, 5.2834, 4.5632, 6.1153, 0.3613, 5.2487, 4.2545, 6.1186, 0.3629, 4.7741, 3.9541, 5.815, 0.3188, 3.8647, 3.0144, 4.5832, 0.3301, 2.9945, 2.3979, 4.2861, 0.3279, 178.43, 167.83, 186.63, 2.948, 180.73, 166.83, 191.13, 3.711, 14.41, 14.32, 14.49, 0.0295, 0.014, -0.072, 0.072, 0.036, 996.8, 996.7, 996.9, 0.0492, 90.6, 90.4, 90.8, 0.0699, 
2016-04-01 01:20:00, WM01, 6.1029, 5.184, 7.0466, 0.4005, 6.0689, 5.1865, 7.0507, 0.3996, 5.6661, 4.8845, 6.4353, 0.415, 4.8154, 3.3282, 5.8383, 0.4719, 3.8707, 2.3979, 5.2302, 0.513, 179.03, 172.33, 185.43, 2.595, 183.03, 171.83, 195.83, 3.766, 14.4, 14.33, 14.49, 0.0309, 0.003, -0.072, 0.072, 0.053, 996.7, 996.6, 996.8, 0.0523, 91.1, 90.6, 91.5, 0.2001, 
2016-04-01 01:30:00, WM01, 4.9605, 3.6319, 6.1153, 0.6836, 4.9181, 3.6331, 6.4293, 0.686, 4.4677, 3.0237, 5.815, 0.6457, 3.9476, 2.7006, 4.897, 0.6031, 3.2306, 2.3979, 4.2861, 0.4677, 180.23, 170.73, 188.63, 4.26, 186.83, 177.23, 196.83, 3.726, 14.33, 14.18, 14.44, 0.0476, -0.049, -0.072, 0.0, 0.028, 996.6, 996.5, 996.7, 0.0463, 91.9, 91.4, 92.3, 0.2505, 
2016-04-01 01:40:00, WM01, 5.2958, 3.6319, 6.7362, 0.9046, 5.2797, 3.3224, 6.74, 0.9035, 5.0626, 3.3338, 6.7454, 0.7332, 3.9369, 2.7006, 5.8383, 0.6326, 3.0713, 2.0831, 4.2861, 0.4916, 184.93, 178.93, 190.43, 2.716, 189.53, 175.13, 201.33, 5.461, 14.26, 14.16, 14.37, 0.0346, 0.055, -0.036, 0.108, 0.033, 996.6, 996.5, 996.7, 0.0408, 92.9, 92.2, 93.5, 0.395, 
