Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2015-02-01 00:10:00, WM01, 9.6853, 7.0466, 12.6343, 1.0741, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 157.33, 144.63, 173.33, 4.697, 158.03, 143.53, 174.63, 5.505, 16.74, 16.61, 16.85, 0.0527, -0.254, -0.359, -0.215, 0.048, 997.1, 997.0, 997.2, 0.0427, 67.9, 67.57, 68.25, 0.1471, 
2015-02-01 00:20:00, WM01, 9.4804, 7.6675, 11.3926, 0.7804, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 158.83, 144.23, 172.43, 4.834, 159.63, 141.63, 181.83, 6.002, 16.62, 16.49, 16.73, 0.0481, -0.269, -0.359, -0.215, 0.037, 997.1, 996.9, 997.1, 0.0551, 68.17, 67.77, 68.49, 0.1482, 
2015-02-01 00:30:00, WM01, 10.48, 8.5988, 12.3239, 0.6829, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 160.93, 151.63, 171.13, 3.78, 164.23, 146.33, 179.03, 4.339, 16.55, 16.46, 16.66, 0.0382, -0.218, -0.323, -0.215, 0.014, 997.0, 996.8, 997.1, 0.0629, 68.18, 67.87, 68.49, 0.107, 
2015-02-01 00:40:00, WM01, 11.3181, 9.2196, 13.8761, 0.8282, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 161.83, 152.03, 174.53, 3.677, 164.83, 154.03, 179.03, 4.413, 16.53, 16.43, 16.65, 0.0403, -0.141, -0.215, 0.0, 0.068, 996.8, 996.6, 997.0, 0.0686, 67.67, 66.99, 68.28, 0.367, 
2015-02-01 00:50:00, WM01, 11.3119, 8.9092, 13.2552, 0.9158, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 158.43, 146.13, 168.73, 3.774, 161.03, 145.63, 174.93, 5.009, 16.53, 16.41, 16.66, 0.047, -0.089, -0.215, 0.0, 0.073, 996.8, 996.7, 996.9, 0.0563, 67.09, 66.13, 67.84, 0.3507, 
2015-02-01 01:00:00, WM01, 10.4738, 8.5988, 12.0135, 0.7183, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 154.63, 142.73, 165.13, 3.664, 156.93, 141.13, 170.23, 4.689, 16.45, 16.36, 16.56, 0.034, -0.037, -0.215, 0.036, 0.056, 996.8, 996.7, 997.0, 0.0471, 66.91, 66.13, 67.57, 0.2587, 
2015-02-01 01:10:00, WM01, 8.605, 7.0466, 10.1509, 0.6544, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 152.03, 140.73, 162.33, 4.028, 152.43, 135.93, 170.23, 4.841, 16.25, 16.12, 16.46, 0.0781, -0.088, -0.215, 0.0, 0.058, 996.9, 996.8, 997.0, 0.0405, 67.52, 66.71, 67.94, 0.2673, 
2015-02-01 01:20:00, WM01, 8.5305, 6.7362, 10.4613, 0.673, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 154.23, 144.03, 164.33, 3.814, 154.83, 143.63, 168.63, 5.1, 16.16, 16.08, 16.24, 0.0307, -0.044, -0.144, 0.0, 0.051, 997.0, 996.9, 997.1, 0.0476, 67.2, 66.51, 67.81, 0.3174, 
2015-02-01 01:30:00, WM01, 9.0023, 7.357, 10.7718, 0.6476, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 158.03, 148.33, 170.73, 3.714, 160.13, 147.13, 175.23, 4.768, 16.16, 16.03, 16.27, 0.051, 0.0, -0.036, 0.036, 0.009, 996.9, 996.8, 997.0, 0.0431, 66.1, 65.0, 66.92, 0.5642, 
2015-02-01 01:40:00, WM01, 8.8533, 7.357, 10.1509, 0.6401, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 157.63, 141.73, 168.93, 4.3, 161.73, 147.03, 176.63, 4.894, 16.25, 16.15, 16.34, 0.0375, 0.024, 0.0, 0.144, 0.036, 996.9, 996.8, 997.1, 0.0422, 64.27, 63.06, 65.35, 0.5009, 
