Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2015-03-01 00:10:00, WM01, 7.6488, 4.5632, 9.53, 0.8866, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 166.83, 139.53, 186.93, 6.786, 165.03, 141.63, 187.63, 8.04, 14.9, 14.82, 15.01, 0.0323, -0.571, -0.574, -0.503, 0.013, 995.9, 995.8, 996.1, 0.0495, 95.7, 95.5, 95.8, 0.0585, 
2015-03-01 00:20:00, WM01, 7.6426, 4.2527, 9.53, 1.1511, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 162.43, 142.33, 176.33, 4.889, 162.23, 135.63, 176.93, 5.845, 14.9, 14.77, 15.04, 0.0568, -0.574, -0.574, -0.574, 0.0, 995.9, 995.9, 996.1, 0.0415, 95.8, 95.6, 95.9, 0.0471, 
2015-03-01 00:30:00, WM01, 7.2763, 3.9423, 9.53, 1.2504, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 162.13, 138.43, 175.23, 6.843, 161.13, 137.33, 182.53, 7.601, 14.91, 14.82, 15.01, 0.0364, -0.574, -0.574, -0.574, 0.0, 995.9, 995.8, 996.0, 0.0378, 95.8, 95.6, 95.9, 0.0454, 
2015-03-01 00:40:00, WM01, 6.8976, 4.5632, 8.9092, 1.0375, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 160.93, 143.23, 178.63, 4.984, 160.33, 138.03, 175.33, 6.434, 14.91, 14.82, 14.99, 0.0364, -0.574, -0.61, -0.574, 0.002, 995.8, 995.7, 996.0, 0.0512, 95.8, 95.7, 96.0, 0.0451, 
2015-03-01 00:50:00, WM01, 7.2391, 4.5632, 8.9092, 1.0666, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 167.13, 148.33, 179.93, 5.813, 166.13, 144.33, 180.43, 7.149, 14.94, 14.85, 15.01, 0.0299, -0.576, -0.646, -0.574, 0.011, 995.9, 995.7, 998.6, 0.1692, 95.8, 95.6, 96.0, 0.0455, 
2015-03-01 01:00:00, WM01, 7.5309, 5.8049, 8.5988, 0.6122, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 167.83, 152.33, 179.13, 4.567, 169.33, 149.63, 185.43, 5.756, 15.02, 14.92, 15.14, 0.0354, -0.574, -0.61, -0.574, 0.002, 995.9, 995.9, 996.1, 0.0462, 95.8, 95.6, 95.9, 0.0491, 
2015-03-01 01:10:00, WM01, 7.655, 5.4944, 8.9092, 0.768, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 163.03, 152.73, 180.13, 4.853, 160.73, 144.93, 181.13, 6.486, 15.06, 14.94, 15.16, 0.0332, -0.581, -0.646, -0.574, 0.02, 995.9, 995.8, 996.1, 0.044, 95.7, 95.5, 95.9, 0.0591, 
2015-03-01 01:20:00, WM01, 7.6861, 5.4944, 9.2196, 0.5836, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 164.23, 153.33, 180.53, 4.798, 163.23, 146.43, 183.93, 6.464, 15.11, 15.02, 15.25, 0.0404, -0.58, -0.646, -0.574, 0.015, 995.8, 995.7, 996.0, 0.0527, 95.5, 95.4, 95.7, 0.0696, 
2015-03-01 01:30:00, WM01, 7.3384, 5.184, 8.5988, 0.6091, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 164.33, 149.63, 176.23, 5.677, 163.83, 147.93, 182.13, 6.245, 15.17, 15.09, 15.25, 0.0316, -0.596, -0.646, -0.574, 0.026, 995.8, 995.6, 995.9, 0.0425, 95.3, 95.0, 95.6, 0.0857, 
2015-03-01 01:40:00, WM01, 7.2018, 5.4944, 8.5988, 0.5873, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 157.93, 148.43, 175.23, 3.62, 155.83, 141.33, 176.53, 4.89, 15.17, 15.08, 15.28, 0.0387, -0.575, -0.61, -0.574, 0.006, 995.7, 995.5, 995.9, 0.0734, 95.1, 94.9, 95.2, 0.0819, 
2015-03-01 01:50:00, WM01, 7.1397, 5.4944, 8.5988, 0.7084, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 164.83, 150.43, 175.73, 4.127, 165.03, 149.73, 187.73, 5.719, 15.2, 15.13, 15.28, 0.0328, -0.587, -0.646, -0.574, 0.022, 995.7, 995.5, 995.8, 0.0484, 94.8, 94.6, 95.0, 0.1043, 
2015-03-01 02:00:00, WM01, 6.5375, 4.8736, 8.2883, 0.5923, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 161.23, 145.13, 176.43, 5.368, 160.43, 141.93, 177.83, 6.647, 15.26, 15.16, 15.38, 0.0319, -0.579, -0.646, -0.574, 0.014, 995.7, 995.6, 995.8, 0.0524, 94.5, 94.2, 94.7, 0.1175, 
