Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2014-10-01 00:10:00, WM01, 10.6059, 9.6072, 11.4798, 0.2946, 10.6236, 9.8882, 11.4462, 0.2798, 10.6999, 9.925, 11.4873, 0.3137, 8.5899, 7.1052, 9.9123, 0.5427, 7.0071, 5.227, 8.6622, 0.6215, 129.93, 124.73, 135.33, 2.171, 141.53, 129.33, 151.93, 3.655, 16.71, 16.2, 17.17, 0.2878, 3.127, 2.6, 3.764, 0.364, 1001.5, 1001.4, 1001.6, 0.0453, 47.57, 46.18, 49.26, 0.978, 
2014-10-01 00:20:00, WM01, 11.124, 10.5435, 12.104, 0.3458, 11.1222, 10.5114, 12.0694, 0.3683, 10.5061, 9.3, 11.4873, 0.465, 8.4464, 6.7933, 10.2242, 0.6556, 6.9821, 5.227, 9.2868, 0.697, 127.83, 124.03, 133.83, 1.669, 139.93, 126.93, 153.33, 4.219, 16.29, 16.04, 16.59, 0.1343, 2.509, 2.202, 2.746, 0.149, 1001.5, 1001.4, 1001.6, 0.0525, 48.93, 47.89, 49.84, 0.5257, 
2014-10-01 00:30:00, WM01, 11.2426, 10.8556, 11.7919, 0.2185, 11.1969, 10.5114, 11.7578, 0.2437, 10.3562, 9.3, 11.1748, 0.2793, 7.9723, 6.1695, 9.2885, 0.5415, 6.5636, 4.9147, 8.3499, 0.6958, 121.13, 116.63, 127.63, 2.586, 139.33, 127.83, 150.73, 3.381, 16.88, 16.11, 17.67, 0.4709, 3.401, 2.6, 4.312, 0.534, 1001.4, 1001.2, 1001.5, 0.0623, 47.01, 43.65, 49.63, 1.788, 
2014-10-01 00:40:00, WM01, 10.7869, 9.9193, 11.4798, 0.4132, 10.7607, 9.8882, 11.7578, 0.4144, 9.8312, 9.3, 10.5499, 0.2606, 7.5793, 5.8576, 8.6647, 0.4772, 6.0764, 4.6024, 7.4131, 0.5321, 117.33, 113.93, 125.03, 2.6, 136.33, 125.93, 147.83, 3.61, 18.02, 17.15, 18.52, 0.3613, 4.3, 3.182, 4.934, 0.486, 1001.2, 1001.2, 1001.4, 0.0401, 41.49, 39.31, 44.88, 1.484, 
2014-10-01 00:50:00, WM01, 9.8881, 8.983, 10.8556, 0.3477, 9.8758, 8.9534, 10.823, 0.3434, 8.9188, 8.0501, 9.925, 0.3631, 6.5064, 5.2338, 8.0409, 0.5521, 5.124, 3.6656, 6.4762, 0.5265, 121.63, 115.93, 127.83, 2.83, 137.53, 127.43, 151.23, 3.64, 17.06, 16.33, 18.16, 0.5079, 3.52, 2.746, 4.897, 0.577, 1001.2, 1001.1, 1001.3, 0.0488, 45.03, 39.79, 47.89, 2.152, 
2014-10-01 01:00:00, WM01, 9.3513, 8.6709, 9.9193, 0.3221, 9.3897, 8.6418, 10.1998, 0.3241, 8.1564, 6.8003, 9.6125, 0.6012, 5.8327, 4.2981, 7.729, 0.5845, 4.6774, 3.6656, 6.1639, 0.4816, 122.23, 117.43, 127.83, 2.11, 130.03, 112.13, 139.83, 4.858, 16.19, 16.08, 16.4, 0.0648, 2.523, 2.347, 2.746, 0.093, 1001.1, 1001.0, 1001.2, 0.0581, 48.42, 47.68, 48.85, 0.2391, 
2014-10-01 01:10:00, WM01, 8.9081, 7.7346, 10.2314, 0.5911, 8.916, 7.707, 10.1998, 0.5952, 7.8564, 6.1753, 9.6125, 0.9487, 5.6331, 3.3624, 7.729, 1.0923, 4.4007, 2.4164, 6.4762, 1.0805, 119.13, 115.03, 122.23, 1.395, 116.73, 100.63, 127.33, 7.015, 15.98, 15.41, 16.4, 0.2449, 2.588, 2.31, 2.891, 0.162, 1001.0, 1001.0, 1001.2, 0.0502, 48.85, 47.48, 50.83, 0.84, 
2014-10-01 01:20:00, WM01, 7.747, 6.4861, 8.983, 0.6261, 7.6821, 6.149, 8.9534, 0.6288, 6.3753, 4.9254, 7.7377, 0.5543, 4.7148, 3.6743, 5.5457, 0.3893, 3.7543, 2.4164, 4.9147, 0.5334, 116.53, 110.13, 121.53, 2.213, 105.03, 97.43, 115.83, 3.195, 15.65, 15.27, 16.02, 0.2478, 2.446, 1.948, 2.855, 0.252, 1001.1, 1001.0, 1001.2, 0.0522, 49.84, 48.68, 51.2, 0.952, 
2014-10-01 01:30:00, WM01, 7.0479, 5.2377, 8.0467, 0.6498, 7.0215, 5.2142, 8.3302, 0.6861, 6.0753, 4.3005, 7.7377, 0.8524, 3.8471, 1.8029, 5.8576, 0.8758, 2.2084, 0.5427, 3.9779, 0.7639, 114.43, 104.63, 120.43, 3.391, 106.03, 76.93, 137.73, 13.2, 15.83, 15.48, 16.2, 0.1893, 2.143, 1.731, 2.419, 0.216, 1001.1, 1001.0, 1001.2, 0.0643, 48.87, 47.41, 50.08, 0.7961, 
2014-10-01 01:40:00, WM01, 6.7109, 5.8619, 7.4225, 0.2921, 6.7598, 5.8374, 7.3954, 0.2698, 6.3191, 4.9254, 7.1127, 0.4418, 3.6787, 2.1148, 5.2338, 0.6188, 2.2178, 0.5427, 3.9779, 0.6777, 114.23, 108.63, 119.13, 2.443, 115.13, 93.63, 144.43, 8.61, 15.81, 15.63, 16.11, 0.15, 2.138, 1.875, 2.6, 0.204, 1001.1, 1001.0, 1001.2, 0.0417, 48.55, 47.48, 49.26, 0.5137, 
2014-10-01 01:50:00, WM01, 5.0736, 3.9893, 6.4861, 0.5062, 5.069, 3.9678, 6.4606, 0.5484, 5.3504, 3.988, 6.1753, 0.6093, 4.2089, 1.8029, 6.1695, 1.1578, 2.5476, 0.5427, 4.6024, 1.0318, 104.03, 97.03, 115.23, 4.73, 112.13, 86.23, 139.13, 5.482, 15.69, 15.49, 15.87, 0.0649, 1.912, 1.441, 2.238, 0.228, 1001.1, 1001.0, 1001.2, 0.038, 48.59, 47.99, 49.22, 0.2312, 
2014-10-01 02:00:00, WM01, 4.0935, 3.3651, 4.9256, 0.3134, 4.1155, 3.6562, 4.9026, 0.2942, 3.9712, 2.4257, 4.9254, 0.5343, 2.0493, 0.2434, 4.9219, 1.4884, 1.3559, 0.2304, 3.6656, 0.8132, 108.83, 91.23, 121.03, 8.22, 111.43, 92.23, 130.43, 6.755, 15.42, 15.22, 15.61, 0.0965, 1.686, 1.333, 2.02, 0.271, 1001.1, 1001.0, 1001.2, 0.0382, 49.47, 49.02, 49.87, 0.2386, 
2014-10-01 02:10:00, WM01, 3.2839, 1.8046, 4.3014, 0.5156, 3.2574, 1.1634, 4.2794, 0.5422, 2.8463, 0.8633, 4.3005, 0.8612, 2.045, 0.8672, 3.6743, 0.5446, 1.409, 0.5427, 2.4164, 0.4391, 114.83, 94.23, 133.03, 6.604, 101.73, 31.06, 165.03, 22.98, 15.26, 14.74, 15.55, 0.1864, 1.426, 0.72, 2.02, 0.352, 1001.1, 1001.0, 1001.2, 0.0686, 49.68, 48.88, 51.14, 0.5805, 
2014-10-01 02:20:00, WM01, 2.8457, 1.4925, 3.9893, 0.4532, 2.8024, 1.475, 3.9678, 0.4605, 2.1663, 1.1758, 3.3631, 0.3718, 1.6688, 0.8672, 2.4267, 0.3063, 1.4296, 0.855, 2.1041, 0.2473, 111.63, 93.73, 126.83, 6.799, 96.73, 84.63, 109.33, 7.287, 14.75, 14.57, 15.03, 0.1062, 0.733, 0.576, 0.936, 0.099, 1001.0, 1000.8, 1001.2, 0.0682, 51.23, 50.49, 51.62, 0.2999, 
2014-10-01 02:30:00, WM01, 3.0561, 2.4288, 3.3651, 0.1848, 3.0611, 2.4098, 3.3446, 0.1926, 2.5675, 1.8007, 3.3631, 0.3, 1.7923, 1.1791, 2.1148, 0.1971, 1.5002, 0.855, 2.1041, 0.2879, 110.73, 107.33, 119.43, 2.917, 101.23, 94.93, 104.53, 3.876, 15.06, 14.64, 15.32, 0.1826, 1.329, 0.936, 1.731, 0.221, 1000.9, 1000.8, 1001.0, 0.0506, 50.0, 49.22, 51.44, 0.7132, 
2014-10-01 02:40:00, WM01, 3.5848, 2.7409, 3.9893, 0.2603, 3.5391, 2.7214, 3.9678, 0.2674, 3.1831, 2.7382, 3.6756, 0.2494, 2.9495, 1.491, 3.6743, 0.5034, 2.1616, 1.1672, 2.7287, 0.3804, 101.73, 89.83, 113.93, 5.904, 116.33, 100.63, 124.83, 6.698, 15.66, 15.15, 15.92, 0.225, 1.93, 1.731, 2.02, 0.124, 1000.7, 1000.6, 1001.0, 0.0674, 47.15, 46.18, 49.36, 1.035, 
2014-10-01 02:50:00, WM01, 2.7471, 2.1167, 3.3651, 0.2915, 2.3245, 1.1634, 3.3446, 0.6631, 2.3569, 1.8007, 3.0506, 0.3687, 2.2034, 0.8672, 3.3624, 0.6824, 1.2628, 0.2304, 2.1041, 0.629, 84.43, 77.53, 90.13, 5.426, 108.23, 106.53, 109.33, 1.041, 15.63, 15.48, 15.84, 0.0778, 2.101, 1.984, 2.31, 0.119, 1000.7, 1000.7, 1000.9, 0.0462, 47.17, 46.32, 47.68, 0.3119, 
2014-10-01 03:00:00, WM01, 2.6891, 2.1167, 3.3651, 0.2834, 1.9144, 0.8518, 2.7214, 0.3926, 1.8945, 0.8633, 2.7382, 0.3806, 0.8784, 0.2434, 1.8029, 0.3019, 1.116, 0.2304, 2.1041, 0.4222, 78.63, 74.53, 80.43, 1.98, 106.63, 106.53, 106.63, 0.084, 15.53, 15.34, 15.7, 0.0738, 2.704, 2.31, 2.891, 0.168, 1000.8, 1000.7, 1000.9, 0.0522, 47.3, 46.69, 47.96, 0.3717, 
2014-10-01 03:10:00, WM01, 2.3102, 1.8046, 3.053, 0.2029, 2.1512, 1.475, 2.7214, 0.2455, 1.7207, 0.5509, 2.7382, 0.5537, 0.836, 0.2434, 1.491, 0.3487, 0.7987, 0.2304, 1.4795, 0.2967, 81.43, 79.53, 84.03, 1.63, 106.63, 106.53, 106.63, 0.077, 15.21, 15.05, 15.48, 0.1039, 2.467, 2.31, 2.746, 0.116, 1000.7, 1000.5, 1000.9, 0.0749, 48.83, 47.72, 49.7, 0.5779, 
2014-10-01 03:20:00, WM01, 3.1859, 2.4288, 3.6772, 0.2753, 3.0904, 2.4098, 3.6562, 0.2904, 2.0088, 1.1758, 2.7382, 0.335, 1.8329, 1.1791, 2.4267, 0.2402, 1.0848, 0.855, 1.4795, 0.173, 91.03, 84.63, 103.43, 5.765, 108.63, 106.63, 109.33, 1.077, 15.48, 15.08, 15.87, 0.2088, 2.577, 2.31, 2.891, 0.192, 1000.5, 1000.4, 1000.7, 0.0532, 46.8, 44.95, 49.19, 1.232, 
2014-10-01 03:30:00, WM01, 3.1872, 2.4288, 3.6772, 0.3034, 3.0704, 2.0982, 3.6562, 0.3185, 1.8964, 1.1758, 2.4257, 0.3693, 1.6345, 1.1791, 2.1148, 0.1821, 1.3453, 0.855, 1.7918, 0.2055, 98.93, 92.43, 103.43, 3.505, 109.33, 109.13, 109.33, 0.084, 15.57, 15.29, 15.89, 0.1183, 2.426, 2.02, 2.891, 0.229, 1000.5, 1000.4, 1000.7, 0.054, 46.14, 45.09, 47.27, 0.519, 
