Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2016-09-01 00:10:00, WM01, 0.9541, 0.2171, 1.4589, 0.2912, 0.9549, 0.2154, 1.4582, 0.325, 1.1858, 0.8527, 1.473, 0.1681, 1.1745, 0.8181, 1.4456, 0.1826, 1.1579, 0.8243, 1.4537, 0.1788, 186.73, 186.63, 186.93, 0.111, 184.43, 184.23, 184.63, 0.048, 11.79, 11.7, 11.87, 0.0284, -0.461, -0.503, -0.431, 0.025, 1002.5, 1002.4, 1002.6, 0.0456, 91.1, 91.0, 91.2, 0.0578, 
2016-09-01 00:20:00, WM01, 0.5667, 0.2171, 1.1484, 0.3154, 0.5292, 0.2154, 1.1475, 0.3008, 0.8731, 0.5425, 1.473, 0.2394, 1.0239, 0.5043, 1.4456, 0.2259, 1.0899, 0.5096, 1.7684, 0.2234, 186.93, 186.63, 186.93, 0.066, 184.53, 184.33, 184.63, 0.066, 11.8, 11.7, 11.89, 0.0338, -0.461, -0.503, -0.431, 0.024, 1002.5, 1002.4, 1002.6, 0.0548, 91.2, 91.1, 91.3, 0.0494, 
2016-09-01 00:30:00, WM01, 1.1099, 0.2171, 1.7693, 0.3489, 1.1394, 0.2154, 1.7689, 0.3523, 1.2974, 0.5425, 1.7831, 0.2518, 1.273, 0.8181, 1.7594, 0.1952, 1.2649, 0.8243, 1.7684, 0.2153, 186.63, 186.53, 186.93, 0.122, 184.43, 184.33, 184.53, 0.064, 11.83, 11.75, 11.91, 0.0307, -0.461, -0.503, -0.431, 0.025, 1002.5, 1002.4, 1002.7, 0.0501, 91.1, 90.9, 91.3, 0.0812, 
2016-09-01 00:40:00, WM01, 0.9454, 0.5276, 1.4589, 0.2105, 0.9685, 0.5261, 1.4582, 0.1976, 1.1181, 0.8527, 1.473, 0.1613, 1.0678, 0.8181, 1.4456, 0.1563, 1.1031, 0.5096, 1.4537, 0.1605, 186.53, 186.53, 186.63, 0.09, 184.43, 184.33, 184.63, 0.048, 11.81, 11.73, 11.91, 0.0286, -0.472, -0.503, -0.431, 0.027, 1002.5, 1002.4, 1002.7, 0.0509, 91.3, 91.1, 91.4, 0.0485, 
2016-09-01 00:50:00, WM01, 0.807, 0.2171, 1.7693, 0.2552, 0.8026, 0.2154, 1.7689, 0.2573, 1.0338, 0.5425, 2.0932, 0.3083, 1.1394, 0.5043, 2.0731, 0.2774, 1.1642, 0.8243, 1.7684, 0.2411, 186.43, 175.53, 186.83, 1.179, 184.53, 183.53, 184.63, 0.149, 11.86, 11.79, 11.97, 0.0333, -0.441, -0.503, -0.431, 0.018, 1002.5, 1002.4, 1002.7, 0.0555, 91.2, 91.0, 91.4, 0.0883, 
2016-09-01 01:00:00, WM01, 1.1515, 0.5276, 2.0797, 0.3949, 1.1891, 0.5261, 2.0796, 0.4008, 1.5244, 0.8527, 2.4034, 0.3536, 1.642, 1.1318, 2.3869, 0.3031, 1.5292, 1.139, 2.0831, 0.2769, 156.83, 154.33, 175.73, 6.486, 164.73, 163.33, 183.43, 3.937, 11.89, 11.8, 11.97, 0.0344, -0.434, -0.503, -0.431, 0.011, 1002.5, 1002.4, 1002.6, 0.0585, 91.0, 90.8, 91.2, 0.0796, 
2016-09-01 01:10:00, WM01, 1.5501, 1.1484, 2.0797, 0.2496, 1.5657, 1.1475, 2.0796, 0.2448, 1.6975, 1.1628, 2.4034, 0.2208, 1.588, 1.1318, 2.3869, 0.2447, 1.4411, 1.139, 2.0831, 0.2404, 155.13, 154.33, 161.53, 1.701, 163.43, 163.33, 163.63, 0.079, 11.89, 11.8, 11.99, 0.028, -0.453, -0.503, -0.431, 0.024, 1002.5, 1002.4, 1002.6, 0.0565, 91.0, 90.8, 91.2, 0.0837, 
2016-09-01 01:20:00, WM01, 1.8562, 1.1484, 2.3902, 0.2564, 1.8764, 1.1475, 2.3903, 0.2697, 2.0746, 1.473, 2.4034, 0.2301, 2.0116, 1.7594, 2.3869, 0.1613, 1.8049, 1.4537, 2.0831, 0.1895, 156.03, 154.53, 161.53, 2.442, 160.33, 159.13, 163.53, 1.94, 11.89, 11.82, 11.97, 0.0298, -0.448, -0.503, -0.431, 0.024, 1002.3, 1002.2, 1002.5, 0.0634, 91.1, 90.9, 91.2, 0.0495, 
2016-09-01 01:30:00, WM01, 0.9796, 0.5276, 1.4589, 0.2154, 0.9685, 0.5261, 1.4582, 0.2237, 1.3508, 0.5425, 1.7831, 0.2593, 1.5146, 1.1318, 1.7594, 0.1876, 1.3643, 0.8243, 1.7684, 0.1693, 154.93, 154.73, 155.13, 0.048, 159.13, 159.13, 159.13, 0.147, 11.97, 11.85, 12.06, 0.0401, -0.397, -0.431, -0.359, 0.034, 1002.3, 1002.2, 1002.4, 0.041, 90.8, 90.4, 91.1, 0.1572, 
2016-09-01 01:40:00, WM01, 1.0429, 0.5276, 1.7693, 0.2415, 1.0711, 0.5261, 1.7689, 0.2498, 1.5213, 1.1628, 2.0932, 0.191, 1.6263, 1.4456, 2.0731, 0.1632, 1.4644, 1.139, 1.7684, 0.1328, 154.93, 154.93, 155.13, 0.048, 159.13, 159.13, 159.13, 0.148, 12.02, 11.96, 12.08, 0.0286, -0.359, -0.359, -0.359, 0.0, 1002.2, 1002.1, 1002.4, 0.0647, 90.4, 90.3, 90.7, 0.06, 
