date_time,WS_62_kwh_kw,WS_40_kwh_kw,WS_20_kwh_kw
2014-05-01 00:00:00,0.0043908100322000015,1.6072728099999977e-05,0.0
2014-05-01 01:00:00,0.0,0.0,0.0
2014-05-01 02:00:00,0.0,0.0,0.0
2014-05-01 03:00:00,0.0,0.0,0.0
2014-05-01 04:00:00,0.0,0.0,0.0
2014-05-01 05:00:00,0.0,0.0,0.0
2014-05-01 06:00:00,0.038342743658766665,0.02463176305031667,0.001039812723499999
2014-05-01 07:00:00,0.20712971337258332,0.12857918432794999,0.039605542707316664
2014-05-01 08:00:00,0.11979691423193334,0.034004545491866676,0.019609267332116667
2014-05-01 09:00:00,0.13325639653696666,0.032416887093500005,0.002802303148499999
2014-05-01 10:00:00,0.002344220438666668,0.0002581377543333332,0.00012241873908333336
2014-05-01 11:00:00,0.0,0.0,0.0
2014-05-01 12:00:00,0.0,0.0,0.0
2014-05-01 13:00:00,0.0,0.0,0.0
2014-05-01 14:00:00,0.0,0.0,3.3531682166666716e-05
2014-05-01 15:00:00,0.006531261892333335,0.007120611753749998,0.008627972649583338
2014-05-01 16:00:00,0.021857746691683343,0.01925681552288334,0.02041566399773333
2014-05-01 17:00:00,0.037451101868949996,0.010847416098583336,0.004127013847250001
2014-05-01 18:00:00,0.006388000007816668,0.0013248044516666658,0.0
2014-05-01 19:00:00,0.0,0.0,0.0
2014-05-01 20:00:00,0.0,0.0,0.0
2014-05-01 21:00:00,0.006163278289883335,0.006118165302233333,0.0
2014-05-01 22:00:00,9.113499091666683e-05,0.00023874932358333345,0.0
2014-05-01 23:00:00,0.0,0.0,0.0
2014-05-02 00:00:00,0.0,0.0,0.0
2014-05-02 01:00:00,0.0002734986366666669,0.002205807260166667,0.00064319011575
2014-05-02 02:00:00,0.0,0.0,0.0
2014-05-02 03:00:00,0.0,0.0,0.0
2014-05-02 04:00:00,7.586777249999997e-05,0.0,0.0
2014-05-02 05:00:00,0.0,0.0,0.0
2014-05-02 06:00:00,0.0,0.0,0.0030825345253333337
2014-05-02 07:00:00,0.0,0.0,0.005452699924249998
2014-05-02 08:00:00,0.0,0.0,2.7162535833333252e-05
2014-05-02 09:00:00,0.0,0.0,0.0
2014-05-02 10:00:00,0.0,0.0,0.0
2014-05-02 11:00:00,0.0,0.0,0.0
2014-05-02 12:00:00,2.4446282250000013e-05,0.00021711295883333314,0.00026375758933333337
2014-05-02 13:00:00,0.018497504242033336,0.02483575212876667,0.030429955963116664
2014-05-02 14:00:00,0.13793599423263334,0.14294842945829997,0.14172918978163335
2014-05-02 15:00:00,0.07974563058135001,0.08452460575263332,0.08288310710973333
2014-05-02 16:00:00,0.02644059505876667,0.022853647420366663,0.022308385712666662
2014-05-02 17:00:00,0.005382011066699998,0.006153735577216665,0.007205432549300002
2014-05-02 18:00:00,0.0126060881644,0.0143345895274,0.010784000015399997
2014-05-02 19:00:00,0.03394705231866666,0.035404804332233336,0.02595678228401667
2014-05-02 20:00:00,8.588981158333323e-05,0.0002446501503333334,0.0005211460323333333
2014-05-02 21:00:00,0.0,0.0,0.0
2014-05-02 22:00:00,0.0,0.0,0.0
2014-05-02 23:00:00,0.00013206612250000002,6.200551283333316e-05,0.0
2014-05-03 00:00:00,0.0004225179280833332,0.0,0.0
2014-05-03 01:00:00,0.0010713995017500014,0.0,0.0
2014-05-03 02:00:00,0.10178094200888332,0.029422738343383336,0.00875327827186667
2014-05-03 03:00:00,0.020793972502883333,0.005280765985749998,0.0
2014-05-03 04:00:00,0.0010343085870833345,0.0,0.0
2014-05-03 05:00:00,0.08051928916695,0.054173432418949986,0.029283123925883326
2014-05-03 06:00:00,0.008210148851766665,0.00043366393416666675,0.0
2014-05-03 07:00:00,0.0043138512523500025,0.006433146008400001,0.002435283778333333
2014-05-03 08:00:00,0.002422611623000001,0.00046120112566666664,0.001308787922916667
2014-05-03 09:00:00,0.01972466664015,0.02068231953578333,0.02089201099846667
2014-05-03 10:00:00,0.008642495910266666,0.008936699758616664,0.0081997796535
2014-05-03 11:00:00,0.0,0.0,0.0
2014-05-03 12:00:00,0.0,0.0,0.0
2014-05-03 13:00:00,0.0,0.0,0.0
2014-05-03 14:00:00,1.573553799999993e-05,0.0001567933965000002,0.00023050689891666688
2014-05-03 15:00:00,0.08459825865050001,0.09218620358581665,0.09554426425186668
2014-05-03 16:00:00,0.14846988412015003,0.11648554249578331,0.10261673809708334
2014-05-03 17:00:00,0.40765327254864997,0.38507888690565,0.33708105228566665
2014-05-03 18:00:00,0.5469244409314834,0.4908710194794333,0.4014752011225333
2014-05-03 19:00:00,0.06480129474948333,0.055159487576149996,0.045910809875383325
2014-05-03 20:00:00,0.06345921753860001,0.049033520598333324,0.029306314142416665
2014-05-03 21:00:00,0.041284077088349996,0.03379639671181666,0.01929276043928333
2014-05-03 22:00:00,0.014066159989383336,0.004501757708250001,0.00030347108999999984
2014-05-03 23:00:00,0.0001297245245833334,0.0,0.0
2014-05-04 00:00:00,0.017405807204566668,0.014723548196849996,0.007595146050149998
2014-05-04 01:00:00,0.04340411565851666,0.027406000034783332,0.006306369228366668
2014-05-04 02:00:00,0.17113941588273332,0.10821779043519998,0.012891961533650001
2014-05-04 03:00:00,0.6277120992033834,0.36459432498131666,0.11931451756723332
2014-05-04 04:00:00,0.5366731295959166,0.2718137189125501,0.06092903582408334
2014-05-04 05:00:00,0.11030126727891669,0.11104173005488333,0.05615506324553334
2014-05-04 06:00:00,0.27224348194305004,0.1935483193929333,0.10661430275856666
