Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2014-05-01 00:10:00, WM01, 3.8226, 3.3651, 4.3014, 0.1754, 3.0891, 2.0982, 4.2794, 0.5515, 3.13, 2.7382, 3.6756, 0.1919, 2.015, 1.491, 2.4267, 0.2314, 1.5451, 1.1672, 2.4164, 0.2586, 84.23, 80.13, 95.53, 4.612, 121.53, 109.83, 135.93, 4.248, 13.6, 13.26, 13.84, 0.1514, 1.084, 0.648, 1.261, 0.143, 996.5, 996.4, 996.6, 0.0594, 76.02, 75.06, 77.42, 0.67, 
2014-05-01 00:20:00, WM01, 4.3033, 3.6772, 4.9256, 0.3134, 2.947, 1.7866, 4.2794, 0.6195, 3.5143, 2.7382, 4.3005, 0.2856, 2.5534, 1.491, 3.6743, 0.4566, 1.9917, 1.1672, 2.7287, 0.406, 74.33, 69.73, 80.03, 3.569, 85.83, 67.43, 118.03, 14.14, 13.36, 13.14, 13.61, 0.1126, 1.067, 0.864, 1.441, 0.145, 996.4, 996.2, 996.6, 0.081, 77.37, 76.47, 78.31, 0.4942, 
2014-05-01 00:30:00, WM01, 4.1691, 3.3651, 4.6135, 0.3258, 3.7279, 1.7866, 4.591, 0.5871, 3.4525, 2.4257, 3.988, 0.3656, 2.403, 1.8029, 3.0505, 0.3468, 1.9811, 1.4795, 2.7287, 0.3098, 67.13, 57.22, 72.03, 3.317, 62.73, 32.83, 77.83, 9.29, 13.48, 13.08, 13.92, 0.2001, 1.326, 1.08, 1.659, 0.161, 996.3, 996.2, 996.5, 0.041, 76.2, 74.18, 77.53, 0.808, 
2014-05-01 00:40:00, WM01, 2.8358, 1.8046, 3.9893, 0.5805, 2.7788, 1.7866, 3.6562, 0.5422, 2.2363, 1.8007, 3.0506, 0.2962, 1.7892, 1.1791, 2.4267, 0.2664, 1.4995, 0.855, 2.1041, 0.3035, 42.44, 27.1, 57.75, 10.14, 32.77, 29.88, 35.04, 2.082, 12.43, 11.99, 13.07, 0.3419, 0.505, 0.072, 1.08, 0.364, 996.4, 996.3, 996.5, 0.0609, 79.73, 77.42, 81.6, 1.388, 
2014-05-01 00:50:00, WM01, 2.0511, 1.4925, 2.4288, 0.2178, 1.9954, 1.475, 2.4098, 0.2019, 1.7101, 1.1758, 2.1132, 0.1781, 1.3756, 0.8672, 1.8029, 0.1834, 1.1404, 0.5427, 1.4795, 0.2055, 7.73, 340.679, 29.21, 14.87, 34.33, 34.06, 34.5, 0.158, 12.22, 12.01, 12.44, 0.107, 0.379, 0.072, 0.756, 0.194, 996.4, 996.3, 996.5, 0.0414, 81.9, 81.4, 82.8, 0.4335, 
2014-05-01 01:00:00, WM01, 2.2478, 1.8046, 2.7409, 0.1579, 2.1836, 1.7866, 2.4098, 0.1583, 1.6464, 1.1758, 2.1132, 0.1681, 1.4704, 0.8672, 1.8029, 0.2027, 1.2878, 0.855, 1.4795, 0.1643, 333.93, 340.654, 336.53, 6.6, 356.41, 12.09, 323.53, 38.2, 12.42, 12.3, 12.56, 0.0567, 0.804, 0.648, 0.9, 0.078, 996.4, 996.3, 996.5, 0.0398, 82.7, 81.9, 83.4, 0.4433, 
2014-05-01 01:10:00, WM01, 2.3557, 1.8046, 2.7409, 0.2116, 2.2621, 1.7866, 2.7214, 0.2138, 1.6489, 1.1758, 1.8007, 0.1756, 1.4661, 1.1791, 1.8029, 0.1921, 1.1847, 0.855, 1.4795, 0.1824, 308.63, 304.83, 321.63, 5.262, 293.83, 284.83, 317.33, 12.07, 12.34, 12.23, 12.44, 0.0343, 1.037, 0.864, 1.08, 0.069, 996.4, 996.3, 996.5, 0.0526, 82.5, 81.5, 83.5, 0.6865, 
2014-05-01 01:20:00, WM01, 1.8233, 1.1804, 2.1167, 0.2516, 1.7804, 1.1634, 2.0982, 0.2543, 1.8089, 1.4883, 2.4257, 0.2431, 1.9009, 1.1791, 2.7386, 0.2689, 1.6013, 1.1672, 2.1041, 0.1936, 305.03, 304.93, 305.33, 0.063, 312.43, 294.03, 322.43, 9.03, 12.14, 11.89, 12.35, 0.1297, 0.717, 0.576, 1.008, 0.118, 996.3, 996.2, 996.4, 0.0414, 82.5, 81.3, 84.6, 0.937, 
2014-05-01 01:30:00, WM01, 2.3008, 1.4925, 3.3651, 0.4089, 2.2958, 1.475, 3.3446, 0.4151, 2.7456, 2.1132, 3.3631, 0.2925, 1.9539, 1.491, 2.7386, 0.2227, 1.6719, 1.1672, 2.4164, 0.2261, 294.23, 281.33, 305.03, 7.854, 279.23, 257.73, 290.33, 8.51, 11.85, 11.77, 11.97, 0.0358, 0.477, 0.432, 0.576, 0.042, 996.3, 996.2, 996.5, 0.0433, 85.5, 84.5, 86.1, 0.4661, 
2014-05-01 01:40:00, WM01, 3.2702, 2.7409, 3.9893, 0.3396, 3.2561, 2.7214, 3.9678, 0.3091, 3.2581, 2.7382, 3.6756, 0.2287, 2.1429, 1.491, 2.7386, 0.2501, 1.765, 1.1672, 2.1041, 0.2036, 275.23, 271.23, 281.33, 2.797, 267.83, 255.73, 277.23, 4.44, 11.83, 11.68, 11.92, 0.0509, 0.603, 0.432, 0.684, 0.058, 996.4, 996.3, 996.6, 0.0426, 86.1, 85.7, 86.8, 0.2443, 
