Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2016-01-01 00:10:00, WM01, 3.5772, 2.7006, 4.2527, 0.2899, 3.5852, 2.701, 4.2545, 0.2759, 3.3475, 2.4034, 4.2643, 0.3722, 2.9623, 2.0731, 3.9557, 0.4048, 2.7453, 1.7684, 3.6567, 0.4192, 166.73, 155.83, 183.03, 5.177, 179.93, 160.53, 196.73, 6.775, 20.08, 19.91, 20.27, 0.0739, -0.574, -0.574, -0.574, 0.0, 996.8, 996.7, 996.9, 0.0474, 91.8, 91.1, 92.4, 0.3438, 
2016-01-01 00:20:00, WM01, 2.8999, 0.838, 4.2527, 0.9251, 2.9073, 0.8368, 4.2545, 0.9352, 2.7439, 0.8527, 3.9541, 0.7443, 2.4603, 0.5043, 3.9557, 0.8691, 2.2581, 0.1949, 3.6567, 0.8548, 170.73, 150.33, 181.53, 8.32, 177.73, 159.13, 207.73, 9.76, 20.3, 20.15, 20.42, 0.0557, -0.575, -0.61, -0.574, 0.004, 996.8, 996.7, 996.9, 0.0581, 90.4, 89.8, 91.2, 0.4033, 
2016-01-01 00:30:00, WM01, 2.053, 1.1484, 3.6319, 0.547, 2.0218, 1.1475, 3.3224, 0.5431, 1.896, 0.5425, 3.0237, 0.5589, 1.8252, 0.1905, 3.3282, 0.5849, 1.8314, 0.5096, 2.7126, 0.5243, 196.33, 167.53, 213.43, 12.88, 215.53, 166.43, 246.93, 23.17, 20.38, 20.29, 20.46, 0.0295, -0.574, -0.574, -0.539, 0.002, 996.9, 996.7, 997.0, 0.0451, 89.5, 89.2, 90.0, 0.1854, 
2016-01-01 00:40:00, WM01, 1.873, 1.1484, 2.7006, 0.3477, 1.8733, 1.1475, 2.701, 0.3467, 2.0002, 1.1628, 2.7135, 0.286, 1.7951, 1.1318, 2.3869, 0.2698, 1.7231, 1.139, 2.3979, 0.2549, 204.93, 198.63, 213.03, 2.892, 219.63, 202.03, 231.83, 7.051, 20.27, 20.15, 20.41, 0.0403, -0.54, -0.574, -0.503, 0.023, 996.8, 996.7, 996.9, 0.0495, 89.6, 89.2, 89.9, 0.1621, 
2016-01-01 00:50:00, WM01, 1.9853, 1.1484, 3.011, 0.3427, 1.9646, 1.1475, 3.3224, 0.3498, 1.7657, 1.1628, 2.7135, 0.3244, 1.5993, 0.5043, 2.3869, 0.3307, 1.5777, 0.5096, 2.3979, 0.3789, 179.63, 140.13, 207.03, 19.94, 186.03, 136.53, 225.23, 29.03, 20.21, 20.13, 20.29, 0.03, -0.518, -0.574, -0.467, 0.024, 996.8, 996.6, 996.9, 0.0677, 89.9, 89.7, 90.1, 0.0696, 
2016-01-01 01:00:00, WM01, 2.2474, 1.4589, 3.6319, 0.4036, 2.2399, 1.4582, 3.3224, 0.3952, 2.2347, 1.473, 3.644, 0.4547, 2.2363, 1.4456, 3.3282, 0.4594, 2.1096, 1.139, 3.0273, 0.4356, 171.43, 153.23, 210.03, 15.52, 168.73, 146.03, 206.53, 15.48, 20.13, 20.03, 20.24, 0.0411, -0.541, -0.574, -0.503, 0.026, 996.6, 996.5, 996.7, 0.0538, 90.0, 89.8, 90.2, 0.0574, 
2016-01-01 01:10:00, WM01, 1.9978, 1.4589, 2.7006, 0.2812, 2.0063, 1.4582, 2.701, 0.2815, 2.1447, 1.473, 3.0237, 0.2996, 2.2018, 1.4456, 3.3282, 0.4154, 2.148, 1.139, 3.342, 0.4922, 212.13, 171.23, 219.53, 14.6, 200.33, 180.03, 227.13, 13.01, 20.04, 19.95, 20.13, 0.0399, -0.472, -0.574, -0.431, 0.055, 996.6, 996.5, 996.8, 0.0624, 90.0, 89.8, 90.2, 0.0653, 
2016-01-01 01:20:00, WM01, 1.9574, 1.1484, 3.011, 0.3334, 1.9553, 0.8368, 3.0117, 0.3368, 2.0002, 1.1628, 2.7135, 0.3064, 2.0072, 1.4456, 2.7006, 0.2711, 1.9648, 1.139, 2.7126, 0.2625, 187.43, 170.53, 200.53, 10.33, 191.33, 169.53, 200.63, 7.73, 19.96, 19.86, 20.06, 0.0378, -0.476, -0.574, -0.431, 0.029, 996.5, 996.4, 996.7, 0.0584, 90.2, 90.1, 90.4, 0.093, 
2016-01-01 01:30:00, WM01, 2.4727, 1.7693, 3.3214, 0.2446, 2.4636, 1.7689, 3.0117, 0.2423, 2.4654, 2.0932, 3.0237, 0.2239, 2.4729, 1.7594, 3.0144, 0.2272, 2.4369, 1.7684, 3.0273, 0.2688, 183.13, 169.03, 197.23, 5.807, 190.43, 172.33, 206.53, 7.258, 19.86, 19.77, 19.98, 0.0376, -0.465, -0.539, -0.431, 0.026, 996.4, 996.3, 996.5, 0.0511, 90.6, 90.3, 90.9, 0.1453, 
2016-01-01 01:40:00, WM01, 3.011, 2.0797, 3.6319, 0.3421, 3.0098, 2.0796, 3.9438, 0.3374, 2.9443, 2.0932, 3.644, 0.3325, 2.9247, 1.7594, 3.9557, 0.4393, 2.8089, 1.7684, 3.9714, 0.4412, 174.93, 166.63, 185.13, 4.396, 177.23, 160.83, 188.33, 4.917, 19.82, 19.74, 19.91, 0.0309, -0.481, -0.539, -0.431, 0.026, 996.4, 996.3, 996.5, 0.0432, 91.1, 90.8, 91.3, 0.1342, 
