Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2015-11-01 00:10:00, WM01, 4.0522, 3.011, 4.8736, 0.3415, 3.9922, 3.0117, 4.8758, 0.3324, 3.2253, 2.4034, 4.2643, 0.3213, 2.2382, 1.4456, 3.3282, 0.2667, 1.781, 1.139, 2.3979, 0.219, 180.63, 169.63, 190.93, 4.508, 210.23, 189.43, 219.03, 5.032, 12.09, 11.99, 12.21, 0.0326, 0.119, 0.072, 0.216, 0.057, 1000.4, 1000.3, 1000.5, 0.0461, 89.7, 89.5, 89.9, 0.0901, 
2015-11-01 00:20:00, WM01, 3.8852, 3.011, 4.8736, 0.339, 3.83, 3.0117, 4.8758, 0.3443, 3.0894, 2.4034, 3.9541, 0.2977, 2.284, 1.7594, 2.7006, 0.2146, 1.837, 1.139, 2.3979, 0.2241, 178.73, 162.33, 190.03, 5.547, 202.73, 183.03, 212.73, 7.908, 12.07, 11.97, 12.16, 0.0341, 0.079, 0.072, 0.18, 0.016, 1000.3, 1000.2, 1000.4, 0.0514, 89.8, 89.6, 90.0, 0.0986, 
2015-11-01 00:30:00, WM01, 4.1422, 3.3214, 5.184, 0.2769, 4.0649, 3.3224, 4.8758, 0.2765, 3.2426, 2.7135, 3.644, 0.2419, 2.4603, 1.7594, 3.3282, 0.364, 1.9623, 1.139, 2.7126, 0.3959, 178.33, 161.33, 195.43, 8.92, 193.83, 176.83, 206.23, 10.33, 12.1, 11.97, 12.2, 0.0439, 0.08, 0.072, 0.18, 0.019, 1000.3, 1000.2, 1000.5, 0.0619, 89.6, 89.3, 89.9, 0.1386, 
2015-11-01 00:40:00, WM01, 4.3508, 3.3214, 5.4944, 0.3533, 4.3216, 3.3224, 5.1865, 0.3424, 3.8189, 3.0237, 4.8845, 0.3523, 3.0383, 2.0731, 4.2695, 0.3621, 2.5281, 1.4537, 3.9714, 0.377, 190.33, 166.93, 209.23, 7.376, 210.13, 190.63, 227.43, 5.729, 12.07, 11.96, 12.14, 0.0356, 0.034, -0.072, 0.108, 0.056, 1000.4, 1000.3, 1000.5, 0.046, 89.9, 89.6, 90.2, 0.1225, 
2015-11-01 00:50:00, WM01, 4.7264, 3.6319, 5.8049, 0.4538, 4.6969, 3.6331, 5.8079, 0.4325, 4.1526, 3.0237, 5.5048, 0.4187, 3.4631, 2.3869, 4.897, 0.5083, 3.0292, 2.0831, 4.6008, 0.4419, 197.83, 180.43, 212.83, 5.415, 213.83, 197.63, 228.33, 6.355, 12.12, 11.97, 12.28, 0.0764, -0.062, -0.108, 0.0, 0.031, 1000.3, 1000.3, 1000.5, 0.0526, 90.1, 89.4, 90.6, 0.2796, 
2015-11-01 01:00:00, WM01, 4.6582, 3.6319, 5.4944, 0.465, 4.6043, 3.3224, 5.4972, 0.4704, 4.188, 3.3338, 5.1947, 0.3883, 3.7285, 2.7006, 4.897, 0.4066, 3.2746, 2.0831, 3.9714, 0.4255, 196.33, 188.43, 203.93, 2.751, 211.03, 197.23, 223.83, 5.95, 12.15, 12.04, 12.33, 0.0619, -0.118, -0.251, -0.072, 0.058, 1000.3, 1000.2, 1000.5, 0.052, 90.1, 89.5, 90.4, 0.2126, 
2015-11-01 01:10:00, WM01, 3.4903, 2.3902, 5.184, 0.4973, 3.4324, 2.3903, 4.8758, 0.5015, 2.9877, 2.0932, 4.2643, 0.4404, 2.6392, 1.7594, 3.9557, 0.4481, 2.3897, 1.7684, 3.6567, 0.4098, 205.53, 195.33, 219.93, 5.843, 221.23, 206.73, 230.23, 5.328, 12.12, 11.94, 12.35, 0.0814, -0.249, -0.323, -0.072, 0.077, 1000.2, 1000.1, 1000.3, 0.0444, 90.0, 89.4, 90.3, 0.2642, 
2015-11-01 01:20:00, WM01, 3.1103, 2.7006, 3.6319, 0.2036, 3.0751, 2.3903, 3.6331, 0.2032, 2.8066, 2.0932, 3.3338, 0.2097, 2.3574, 1.7594, 3.0144, 0.2441, 2.0309, 1.4537, 2.7126, 0.2379, 222.23, 219.83, 225.43, 1.561, 231.13, 228.63, 232.33, 0.873, 11.95, 11.85, 12.06, 0.0351, -0.348, -0.467, -0.287, 0.031, 1000.2, 1000.1, 1000.3, 0.0491, 91.2, 90.2, 91.8, 0.4056, 
2015-11-01 01:30:00, WM01, 3.1488, 2.7006, 3.9423, 0.2788, 3.1005, 2.3903, 3.6331, 0.2703, 2.8438, 2.0932, 3.3338, 0.2829, 2.5143, 1.7594, 3.3282, 0.268, 2.2971, 1.7684, 3.0273, 0.2448, 223.33, 220.33, 229.03, 2.827, 229.23, 221.83, 236.93, 3.782, 11.92, 11.85, 12.01, 0.0287, -0.468, -0.503, -0.359, 0.035, 1000.1, 999.9, 1000.3, 0.0699, 92.0, 91.7, 92.3, 0.1171, 
2015-11-01 01:40:00, WM01, 3.0979, 2.3902, 3.9423, 0.3241, 3.049, 2.3903, 3.9438, 0.3113, 2.6565, 1.7831, 3.9541, 0.3455, 2.3241, 1.7594, 3.0144, 0.2127, 2.0592, 1.4537, 2.7126, 0.2461, 216.23, 204.33, 230.93, 7.113, 236.53, 221.63, 241.43, 4.106, 12.01, 11.87, 12.14, 0.0561, -0.357, -0.503, -0.287, 0.073, 1000.0, 999.9, 1000.1, 0.0473, 92.1, 91.8, 92.3, 0.1138, 
