Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2015-07-01 00:10:00, WM01, 2.0909, 1.4589, 2.3902, 0.2092, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 42.31, 42.12, 42.37, 0.063, 68.53, 68.23, 72.43, 0.914, 10.55, 10.44, 10.66, 0.0409, 0.826, 0.72, 0.864, 0.049, 1003.4, 1003.2, 1003.5, 0.0521, 92.0, 91.8, 92.3, 0.0866, 
2015-07-01 00:20:00, WM01, 2.0089, 1.4589, 2.3902, 0.226, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 34.87, 28.07, 42.27, 3.689, 72.43, 70.93, 72.43, 0.283, 10.44, 10.32, 10.56, 0.0423, 0.756, 0.648, 0.864, 0.056, 1003.3, 1003.2, 1003.4, 0.0364, 92.4, 92.0, 92.7, 0.2262, 
2015-07-01 00:30:00, WM01, 2.5063, 1.7693, 3.011, 0.3762, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 28.13, 28.06, 28.17, 0.044, 68.73, 68.33, 70.93, 0.53, 10.41, 10.3, 10.51, 0.0461, 0.792, 0.72, 0.936, 0.056, 1003.3, 1003.2, 1003.5, 0.0638, 93.0, 92.5, 93.4, 0.2517, 
2015-07-01 00:40:00, WM01, 2.2858, 1.4589, 2.7006, 0.2428, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 28.16, 28.12, 28.17, 0.04, 71.73, 66.43, 74.33, 2.481, 10.48, 10.37, 10.6, 0.0366, 1.095, 0.9, 1.189, 0.062, 1003.3, 1003.3, 1003.5, 0.0499, 93.2, 92.9, 93.4, 0.118, 
2015-07-01 00:50:00, WM01, 2.4038, 1.7693, 3.3214, 0.3905, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 25.13, 19.47, 28.17, 3.141, 66.43, 66.43, 66.53, 0.103, 10.38, 10.24, 10.51, 0.0528, 1.175, 1.044, 1.333, 0.098, 1003.3, 1003.2, 1003.4, 0.0471, 93.4, 93.0, 93.9, 0.2228, 
2015-07-01 01:00:00, WM01, 2.5094, 2.0797, 3.011, 0.2229, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 19.52, 19.47, 19.57, 0.084, 65.13, 61.43, 66.83, 2.145, 10.1, 9.81, 10.32, 0.1205, 1.404, 1.297, 1.659, 0.119, 1003.2, 1003.1, 1003.3, 0.0488, 94.2, 93.7, 94.6, 0.2726, 
2015-07-01 01:10:00, WM01, 2.0785, 1.1484, 3.3214, 0.5135, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 31.86, 19.51, 42.47, 9.56, 57.95, 49.0, 61.43, 5.092, 9.09, 8.56, 9.78, 0.3381, 0.683, 0.072, 1.297, 0.365, 1003.2, 1003.0, 1003.3, 0.0641, 94.5, 94.4, 94.8, 0.0887, 
2015-07-01 01:20:00, WM01, 2.5373, 1.7693, 3.3214, 0.393, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 43.31, 40.07, 48.78, 2.678, 55.8, 50.13, 70.13, 7.959, 8.45, 8.31, 8.61, 0.0647, 0.125, 0.036, 0.36, 0.083, 1003.0, 1002.9, 1003.2, 0.0635, 95.1, 94.6, 95.5, 0.253, 
2015-07-01 01:30:00, WM01, 2.5038, 2.0797, 2.7006, 0.1639, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 50.82, 45.56, 53.3, 1.726, 70.13, 69.93, 70.13, 0.034, 8.3, 8.2, 8.39, 0.0355, 0.035, -0.072, 0.108, 0.05, 1003.0, 1002.9, 1003.1, 0.0385, 95.6, 95.4, 95.9, 0.1248, 
2015-07-01 01:40:00, WM01, 2.4845, 2.0797, 2.7006, 0.1838, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 58.44, 53.26, 61.23, 2.01, 63.43, 57.18, 70.13, 6.303, 8.24, 8.15, 8.34, 0.0344, -0.095, -0.18, -0.036, 0.036, 1003.0, 1002.8, 1003.1, 0.0633, 95.9, 95.8, 96.1, 0.0828, 
2015-07-01 01:50:00, WM01, 1.8997, 1.1484, 3.011, 0.3874, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 69.93, 61.23, 70.83, 1.643, 57.68, 54.36, 62.23, 3.236, 8.22, 8.15, 8.31, 0.0315, -0.269, -0.359, -0.144, 0.094, 1003.0, 1002.9, 1003.1, 0.0421, 96.2, 96.0, 96.3, 0.0641, 
2015-07-01 02:00:00, WM01, 2.3703, 1.4589, 3.011, 0.3458, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 59.28, 45.02, 70.83, 6.08, 55.35, 51.21, 66.03, 3.298, 8.39, 8.22, 8.53, 0.0666, -0.307, -0.359, -0.18, 0.053, 1002.9, 1002.7, 1002.9, 0.042, 96.4, 96.2, 96.5, 0.0707, 
