Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2015-01-01 00:10:00, WM01, 5.0236, 3.6772, 6.174, 0.4501, 5.0117, 3.6562, 6.149, 0.4599, 4.9004, 3.3631, 6.4878, 0.5681, 4.5495, 2.7386, 5.8576, 0.6244, 4.2327, 2.4164, 5.5393, 0.5802, 185.33, 173.43, 199.33, 5.431, 188.13, 172.63, 209.43, 6.713, 18.23, 17.88, 18.61, 0.129, -0.507, -0.789, -0.215, 0.123, 994.5, 994.4, 994.7, 0.0511, 81.1, 72.18, 85.2, 4.692, 
2015-01-01 00:20:00, WM01, 2.8957, 1.8046, 4.3014, 0.4413, 2.8741, 1.7866, 4.2794, 0.445, 2.6419, 1.8007, 3.988, 0.4356, 2.4186, 1.491, 3.3624, 0.3724, 2.2815, 1.4795, 3.3533, 0.4316, 165.83, 151.23, 182.53, 6.244, 167.43, 144.33, 197.43, 9.6, 18.52, 18.37, 18.68, 0.0766, -0.499, -0.646, -0.215, 0.083, 994.4, 994.3, 994.6, 0.0575, 77.75, 75.46, 79.08, 0.7324, 
2015-01-01 00:30:00, WM01, 3.0236, 2.1167, 3.6772, 0.3645, 2.9863, 2.0982, 3.6562, 0.3583, 2.8319, 1.8007, 3.6756, 0.4193, 2.7336, 1.8029, 3.6743, 0.4728, 2.5363, 1.4795, 3.6656, 0.4647, 153.03, 138.43, 178.03, 10.57, 153.53, 139.03, 172.63, 10.51, 18.56, 18.39, 18.66, 0.0573, -0.473, -0.574, -0.359, 0.05, 994.4, 994.3, 994.5, 0.0552, 75.53, 74.27, 76.79, 0.5409, 
2015-01-01 00:40:00, WM01, 2.4163, 1.4925, 3.3651, 0.4501, 2.3986, 1.475, 3.3446, 0.4605, 2.3426, 1.4883, 3.3631, 0.42, 2.2065, 1.491, 3.0505, 0.3381, 2.0429, 1.1672, 2.7287, 0.3017, 152.73, 140.73, 168.93, 7.424, 151.13, 137.53, 165.33, 9.91, 18.6, 18.49, 18.7, 0.0372, -0.498, -0.538, -0.431, 0.013, 994.3, 994.1, 994.4, 0.0507, 74.45, 73.58, 75.19, 0.3536, 
2015-01-01 00:50:00, WM01, 2.2115, 1.4925, 2.7409, 0.3252, 2.2023, 1.475, 2.7214, 0.3284, 2.0676, 1.4883, 2.7382, 0.255, 1.8996, 0.8672, 2.7386, 0.3331, 1.8399, 0.855, 2.4164, 0.3192, 168.43, 153.43, 177.83, 6.963, 174.73, 158.63, 187.53, 6.783, 18.62, 18.54, 18.7, 0.0274, -0.502, -0.503, -0.467, 0.004, 994.2, 994.0, 994.4, 0.0645, 74.33, 73.55, 75.05, 0.4553, 
2015-01-01 01:00:00, WM01, 2.0867, 1.1804, 3.3651, 0.3558, 2.0702, 1.1634, 3.3446, 0.3453, 1.9101, 1.4883, 3.0506, 0.2594, 1.7948, 0.8672, 2.7386, 0.2957, 1.7312, 1.1672, 2.4164, 0.2954, 172.53, 160.03, 184.93, 5.708, 181.53, 164.23, 193.83, 7.596, 18.68, 18.6, 18.77, 0.0329, -0.503, -0.503, -0.503, 0.0, 994.0, 993.9, 994.1, 0.0562, 73.96, 73.48, 74.61, 0.3104, 
2015-01-01 01:10:00, WM01, 2.4369, 1.1804, 3.6772, 0.6042, 2.4204, 1.1634, 3.6562, 0.6107, 2.3613, 1.1758, 3.6756, 0.5843, 2.1379, 0.8672, 3.3624, 0.509, 1.9311, 0.855, 3.3533, 0.5115, 173.83, 158.03, 181.23, 4.872, 170.63, 156.43, 190.43, 7.239, 18.67, 18.59, 18.75, 0.0305, -0.502, -0.503, -0.467, 0.002, 994.0, 993.7, 994.1, 0.0851, 74.18, 73.89, 74.4, 0.1283, 
2015-01-01 01:20:00, WM01, 1.0399, 0.244, 1.8046, 0.2472, 1.0276, 0.5402, 1.7866, 0.2387, 1.1558, 0.5509, 1.8007, 0.2294, 1.2091, 0.8672, 1.8029, 0.2252, 1.161, 0.5427, 1.7918, 0.243, 177.33, 176.73, 178.13, 0.32, 183.23, 180.43, 191.83, 4.68, 18.67, 18.6, 18.77, 0.026, -0.503, -0.503, -0.503, 0.0, 993.8, 993.7, 993.9, 0.0575, 74.47, 74.33, 74.64, 0.0561, 
2015-01-01 01:30:00, WM01, 1.4001, 0.5561, 2.1167, 0.3851, 1.3921, 0.5402, 2.0982, 0.3826, 1.3802, 0.5509, 2.1132, 0.3643, 1.3862, 0.5553, 1.8029, 0.2714, 1.3859, 0.855, 1.7918, 0.2604, 180.63, 176.33, 190.43, 5.388, 195.13, 191.63, 208.83, 4.745, 18.65, 18.6, 18.73, 0.026, -0.503, -0.503, -0.503, 0.0, 993.8, 993.7, 993.9, 0.0556, 74.77, 74.54, 74.91, 0.0733, 
2015-01-01 01:40:00, WM01, 1.9275, 1.4925, 2.4288, 0.2428, 1.9038, 1.475, 2.4098, 0.225, 1.9476, 1.1758, 2.4257, 0.2344, 1.8828, 1.1791, 2.4267, 0.2876, 1.8062, 1.1672, 2.4164, 0.2867, 192.83, 188.33, 195.23, 2.168, 199.63, 193.83, 211.73, 3.098, 18.64, 18.54, 18.73, 0.0284, -0.503, -0.503, -0.503, 0.0, 993.8, 993.7, 993.9, 0.0607, 74.69, 74.33, 74.91, 0.1337, 
