Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2014-06-01 00:10:00, WM01, 2.3021, 1.4925, 3.053, 0.3658, 2.2833, 1.475, 3.3446, 0.3583, 2.2726, 1.4883, 3.3631, 0.4143, 2.0761, 1.1791, 3.0505, 0.4254, 1.8749, 0.855, 2.7287, 0.4584, 342.989, 340.629, 337.03, 10.45, 344.184, 340.628, 337.03, 10.78, 10.77, 10.68, 10.86, 0.0336, -0.298, -0.359, -0.287, 0.024, 999.6, 999.4, 999.7, 0.0566, 97.2, 97.0, 97.3, 0.0452, 
2014-06-01 00:20:00, WM01, 2.1953, 1.1804, 3.053, 0.3708, 2.1549, 1.1634, 3.033, 0.3883, 2.0507, 0.5509, 3.0506, 0.5031, 1.9863, 0.8672, 2.7386, 0.4148, 1.8149, 0.855, 2.7287, 0.4135, 330.33, 341.176, 336.93, 15.99, 337.33, 345.642, 336.93, 10.55, 10.78, 10.69, 10.88, 0.032, -0.299, -0.359, -0.251, 0.025, 999.6, 999.5, 999.7, 0.0399, 97.2, 97.1, 97.3, 0.0447, 
2014-06-01 00:30:00, WM01, 1.9625, 1.1804, 3.053, 0.3795, 1.9156, 1.1634, 3.033, 0.387, 1.7651, 1.1758, 2.7382, 0.325, 1.5796, 0.8672, 2.4267, 0.3175, 1.4764, 0.855, 2.4164, 0.2767, 318.83, 341.499, 337.03, 19.61, 334.43, 341.292, 336.83, 10.71, 10.8, 10.71, 10.91, 0.0361, -0.287, -0.287, -0.287, 0.0, 999.5, 999.4, 999.7, 0.0525, 97.2, 97.0, 97.3, 0.0483, 
2014-06-01 00:40:00, WM01, 1.9076, 1.4925, 2.4288, 0.2447, 1.8726, 1.1634, 2.4098, 0.2468, 1.7707, 1.1758, 2.4257, 0.2606, 1.7031, 1.1791, 2.4267, 0.2832, 1.5545, 0.855, 2.4164, 0.2786, 328.23, 340.629, 336.53, 11.68, 326.43, 340.677, 337.03, 11.95, 10.9, 10.81, 11.02, 0.0379, -0.298, -0.359, -0.287, 0.025, 999.5, 999.4, 999.7, 0.0487, 97.2, 97.0, 97.4, 0.0454, 
2014-06-01 00:50:00, WM01, 2.9981, 1.8046, 3.6772, 0.2709, 2.9458, 1.7866, 3.6562, 0.2636, 3.0256, 2.1132, 3.6756, 0.2725, 3.0037, 1.8029, 3.6743, 0.3069, 2.8617, 1.7918, 3.6656, 0.351, 318.03, 308.43, 328.03, 5.043, 314.93, 291.93, 329.53, 5.721, 10.78, 10.64, 10.97, 0.0801, -0.315, -0.395, -0.287, 0.033, 999.5, 999.4, 999.6, 0.0514, 97.2, 97.1, 97.3, 0.0424, 
2014-06-01 01:00:00, WM01, 2.3582, 1.4925, 3.6772, 0.4432, 2.3051, 1.1634, 3.6562, 0.4369, 2.3101, 1.4883, 3.3631, 0.4187, 2.2758, 1.491, 3.6743, 0.3824, 2.1853, 1.1672, 3.3533, 0.4266, 327.83, 340.629, 337.03, 12.99, 321.03, 297.13, 335.83, 12.25, 10.66, 10.57, 10.76, 0.0351, -0.302, -0.359, -0.287, 0.028, 999.6, 999.5, 999.7, 0.0632, 97.2, 97.1, 97.4, 0.0439, 
2014-06-01 01:10:00, WM01, 2.4899, 1.4925, 3.3651, 0.3627, 2.4366, 1.475, 3.3446, 0.359, 2.4582, 1.8007, 3.3631, 0.3062, 2.4255, 1.491, 3.0505, 0.2782, 2.3208, 1.4795, 3.041, 0.3129, 332.23, 340.679, 336.53, 10.07, 330.73, 340.677, 336.93, 9.38, 10.7, 10.61, 10.81, 0.0358, -0.295, -0.359, -0.287, 0.018, 999.7, 999.6, 999.8, 0.0494, 97.2, 97.1, 97.3, 0.0433, 
2014-06-01 01:20:00, WM01, 2.7546, 1.4925, 3.6772, 0.4001, 2.7171, 1.475, 3.6562, 0.4032, 2.6175, 1.4883, 3.3631, 0.4506, 2.4436, 1.491, 3.6743, 0.5371, 2.349, 1.4795, 3.6656, 0.4978, 351.04, 343.361, 0.52, 4.529, 350.06, 340.653, 336.53, 5.653, 10.77, 10.64, 10.86, 0.0359, -0.313, -0.431, -0.287, 0.034, 999.6, 999.5, 999.7, 0.0399, 97.2, 97.1, 97.4, 0.0443, 
2014-06-01 01:30:00, WM01, 3.0405, 2.4288, 3.6772, 0.2946, 3.0062, 2.4098, 3.6562, 0.3023, 3.13, 2.4257, 3.988, 0.2787, 3.1235, 2.4267, 3.9862, 0.2595, 2.961, 2.1041, 3.6656, 0.3117, 347.764, 340.679, 282.43, 7.061, 346.457, 340.677, 336.93, 6.351, 10.66, 10.5, 10.79, 0.0695, -0.329, -0.467, -0.287, 0.038, 999.5, 999.4, 999.7, 0.0501, 97.2, 97.1, 97.4, 0.0427, 
2014-06-01 01:40:00, WM01, 2.6348, 2.1167, 3.3651, 0.2846, 2.5812, 1.7866, 3.3446, 0.2867, 2.5632, 1.8007, 3.3631, 0.285, 2.4517, 1.491, 3.3624, 0.3481, 2.3383, 1.4795, 3.3533, 0.3573, 349.94, 338.841, 6.9, 5.485, 347.741, 340.628, 337.03, 10.16, 10.6, 10.5, 10.71, 0.0451, -0.321, -0.395, -0.287, 0.032, 999.6, 999.5, 999.7, 0.0482, 97.2, 97.1, 97.4, 0.0395, 
