Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2016-08-01 00:10:00, WM01, 0.7511, 0.4978, 1.1484, 0.1627, 0.7666, 0.2154, 1.1475, 0.1759, 0.96, 0.2324, 1.473, 0.2785, 1.5724, 0.7584, 2.0731, 0.2749, 1.5211, 1.139, 2.0831, 0.2171, 154.93, 154.93, 154.93, 0.048, 116.23, 116.23, 116.23, 0.04, 12.81, 12.72, 12.89, 0.0326, 1.154, 0.648, 1.297, 0.192, 1002.9, 1002.9, 1003.1, 0.048, 86.4, 86.3, 86.6, 0.0562, 
2016-08-01 00:20:00, WM01, 0.6971, 0.2171, 1.1484, 0.2812, 0.5994, 0.2154, 1.1475, 0.3585, 1.1411, 0.2324, 1.7831, 0.3647, 1.9144, 1.4456, 2.3869, 0.1908, 1.8899, 1.139, 2.3979, 0.26, 154.93, 154.93, 154.93, 0.063, 116.23, 116.23, 116.23, 0.034, 12.79, 12.69, 12.89, 0.042, 1.041, 0.72, 1.297, 0.202, 1002.9, 1002.8, 1003.1, 0.0486, 86.5, 86.3, 86.7, 0.0906, 
2016-08-01 00:30:00, WM01, 0.5946, 0.2171, 1.1484, 0.2738, 0.6112, 0.2154, 1.1475, 0.2958, 1.1535, 0.5425, 1.7831, 0.2587, 1.8974, 1.4456, 2.3869, 0.1983, 1.5953, 1.139, 2.0831, 0.2134, 154.93, 154.93, 154.93, 0.063, 112.63, 111.73, 116.23, 1.757, 12.73, 12.65, 12.84, 0.0307, 0.752, 0.72, 0.864, 0.035, 1002.9, 1002.7, 1003.1, 0.061, 86.6, 86.4, 86.8, 0.0754, 
2016-08-01 00:40:00, WM01, 0.7498, 0.2171, 1.4589, 0.3024, 0.6958, 0.2154, 1.1475, 0.2709, 1.5275, 1.1628, 2.0932, 0.2667, 2.1629, 1.7594, 2.7006, 0.2228, 1.9151, 1.139, 2.3979, 0.3267, 154.93, 154.93, 154.93, 0.04, 111.53, 107.33, 111.83, 0.656, 12.69, 12.58, 12.77, 0.0297, 0.787, 0.648, 1.008, 0.128, 1002.8, 1002.7, 1002.9, 0.0626, 86.6, 86.5, 86.8, 0.082, 
2016-08-01 00:50:00, WM01, 1.2801, 0.838, 1.4589, 0.1596, 1.2003, 0.8368, 1.4582, 0.2013, 1.8836, 1.473, 2.0932, 0.147, 2.4559, 2.3869, 2.7006, 0.1299, 2.3601, 2.0831, 2.7126, 0.1718, 154.93, 154.83, 154.93, 0.054, 106.03, 105.93, 107.13, 0.167, 12.73, 12.65, 12.81, 0.0298, 0.672, 0.648, 0.72, 0.029, 1002.7, 1002.6, 1002.9, 0.048, 86.1, 85.6, 86.7, 0.2981, 
2016-08-01 01:00:00, WM01, 1.4452, 1.1484, 1.7693, 0.1546, 1.2531, 0.8368, 1.7689, 0.2715, 2.1025, 1.473, 2.7135, 0.2915, 2.6567, 2.3869, 3.0144, 0.1494, 2.8133, 2.3979, 3.342, 0.2323, 154.83, 154.83, 154.93, 0.095, 102.73, 98.93, 106.03, 3.206, 12.64, 12.53, 12.79, 0.0633, 0.79, 0.648, 1.008, 0.072, 1002.7, 1002.5, 1002.9, 0.06, 86.2, 85.6, 86.7, 0.3309, 
2016-08-01 01:10:00, WM01, 1.3831, 1.1484, 1.7693, 0.1378, 1.4657, 1.1475, 1.7689, 0.1199, 2.2967, 2.0932, 2.4034, 0.147, 2.9454, 2.3869, 3.3282, 0.1914, 3.0417, 2.7126, 3.342, 0.2002, 154.93, 154.93, 155.03, 0.059, 98.93, 98.93, 99.13, 0.048, 12.59, 12.51, 12.68, 0.0302, 1.054, 0.972, 1.08, 0.03, 1002.5, 1002.4, 1002.7, 0.0707, 86.4, 86.2, 86.6, 0.1028, 
2016-08-01 01:20:00, WM01, 1.4942, 1.1484, 1.7693, 0.1217, 1.5495, 1.4582, 1.7689, 0.1417, 2.4952, 2.0932, 3.0237, 0.2295, 3.1744, 3.0144, 3.6419, 0.1588, 3.0273, 2.7126, 3.6567, 0.2008, 154.93, 154.83, 155.03, 0.014, 99.73, 98.93, 101.43, 0.993, 12.53, 12.45, 12.65, 0.0362, 1.075, 1.008, 1.08, 0.013, 1002.4, 1002.2, 1002.5, 0.0611, 86.4, 86.1, 86.7, 0.1753, 
2016-08-01 01:30:00, WM01, 1.8792, 1.4589, 2.0797, 0.1726, 1.9472, 1.4582, 2.3903, 0.1678, 2.819, 2.4034, 3.3338, 0.2401, 3.1732, 2.7006, 3.6419, 0.2554, 3.3439, 3.0273, 3.6567, 0.1888, 128.63, 117.23, 154.93, 16.76, 101.13, 100.83, 101.33, 0.087, 12.51, 12.4, 12.62, 0.0393, 1.194, 1.08, 1.297, 0.071, 1002.2, 1002.1, 1002.3, 0.0604, 86.6, 86.3, 86.9, 0.1235, 
2016-08-01 01:40:00, WM01, 2.0313, 1.7693, 2.3902, 0.136, 2.1032, 1.7689, 2.3903, 0.1205, 2.5523, 2.0932, 3.0237, 0.2283, 2.4452, 2.0731, 3.0144, 0.2767, 3.026, 2.7126, 3.342, 0.1895, 119.53, 117.23, 126.23, 3.279, 101.93, 101.03, 106.63, 1.84, 12.5, 12.4, 12.59, 0.0349, 1.33, 1.297, 1.659, 0.087, 1002.2, 1002.0, 1002.3, 0.0507, 86.8, 86.4, 87.3, 0.266, 
