Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2016-02-01 00:10:00, WM01, 2.9936, 1.7693, 4.2527, 0.6165, 2.6028, 1.1475, 3.9438, 0.594, 1.8247, 0.8527, 2.4034, 0.423, 1.1739, 0.1905, 2.0731, 0.5497, 1.1315, 0.1949, 2.0831, 0.4928, 92.53, 76.83, 118.03, 15.11, 144.33, 144.33, 144.43, 0.073, 21.07, 20.13, 22.07, 0.6307, 1.846, 1.153, 2.746, 0.493, 991.6, 991.4, 991.8, 0.0807, 71.84, 66.83, 76.7, 3.154, 
2016-02-01 00:20:00, WM01, 2.1697, 1.4589, 3.011, 0.429, 1.9882, 1.1475, 3.0117, 0.402, 1.0028, 0.2324, 2.0932, 0.4181, 0.9203, 0.1905, 2.0731, 0.5353, 0.9735, 0.1949, 2.0831, 0.5375, 57.04, 26.85, 77.13, 22.11, 161.63, 144.33, 280.93, 54.41, 21.44, 20.93, 22.14, 0.3804, 2.31, 1.731, 2.891, 0.405, 991.8, 991.4, 992.0, 0.1454, 69.58, 67.0, 71.85, 1.686, 
2016-02-01 00:30:00, WM01, 1.968, 0.838, 3.011, 0.5072, 1.9149, 0.8368, 3.0117, 0.5561, 1.0574, 0.2324, 2.7135, 0.758, 0.7145, 0.1905, 1.7594, 0.401, 0.7362, 0.1949, 1.7684, 0.4129, 25.68, 16.56, 40.67, 6.107, 252.43, 250.43, 267.73, 4.83, 21.14, 20.64, 21.58, 0.2756, 1.885, 1.514, 2.31, 0.233, 991.7, 991.5, 992.0, 0.1333, 70.06, 67.0, 73.15, 2.021, 
2016-02-01 00:40:00, WM01, 1.1751, 0.5276, 2.0797, 0.3731, 1.1289, 0.2154, 2.0796, 0.3902, 0.955, 0.5425, 1.473, 0.2351, 0.9793, 0.1905, 2.0731, 0.4506, 1.3511, 0.5096, 2.3979, 0.4267, 16.81, 16.59, 17.31, 0.266, 226.83, 172.93, 250.43, 31.36, 22.6, 21.47, 24.16, 0.837, 2.688, 2.238, 3.764, 0.472, 991.3, 991.1, 991.6, 0.1143, 61.89, 53.22, 67.27, 4.428, 
2016-02-01 00:50:00, WM01, 2.4572, 1.4589, 4.2527, 0.6767, 2.4711, 1.1475, 4.2545, 0.7774, 2.4747, 1.473, 3.9541, 0.825, 1.8849, 0.8181, 3.0144, 0.5798, 1.5563, 0.8243, 2.7126, 0.5111, 37.19, 16.66, 47.59, 11.4, 67.63, 30.52, 173.03, 42.36, 24.35, 23.08, 25.88, 0.941, 4.092, 2.964, 5.446, 0.881, 991.2, 991.0, 991.4, 0.0792, 53.06, 43.31, 60.23, 5.155, 
2016-02-01 01:00:00, WM01, 2.6025, 1.7693, 3.3214, 0.4687, 2.1977, 1.4582, 3.0117, 0.402, 2.3835, 1.7831, 3.0237, 0.1979, 1.5617, 1.1318, 2.0731, 0.1952, 1.443, 0.5096, 2.0831, 0.2908, 64.73, 42.66, 75.83, 13.24, 37.56, 30.57, 42.37, 5.643, 23.84, 23.49, 24.24, 0.2231, 3.553, 3.182, 3.801, 0.149, 991.1, 991.0, 991.2, 0.0625, 56.32, 54.35, 58.55, 1.289, 
2016-02-01 01:10:00, WM01, 2.6397, 2.0797, 3.3214, 0.2533, 2.4182, 1.1475, 3.3224, 0.4045, 2.1007, 1.1628, 3.0237, 0.3585, 1.6244, 1.1318, 2.3869, 0.3094, 1.3826, 0.8243, 1.7684, 0.248, 67.53, 35.6, 79.03, 11.84, 41.77, 8.16, 42.42, 4.263, 23.35, 22.5, 23.83, 0.2764, 2.881, 1.948, 3.182, 0.252, 990.9, 990.8, 991.1, 0.0612, 59.12, 57.32, 63.03, 1.321, 
2016-02-01 01:20:00, WM01, 1.164, 0.5276, 2.3902, 0.5284, 1.155, 0.2154, 2.701, 0.6332, 1.2013, 0.2324, 2.7135, 0.691, 0.9235, 0.1905, 2.3869, 0.6288, 0.8287, 0.1949, 2.0831, 0.5155, 25.13, 24.07, 35.5, 2.375, 354.18, 340.677, 335.43, 3.592, 21.8, 21.52, 22.51, 0.202, 1.145, 0.972, 1.912, 0.215, 990.9, 990.7, 991.1, 0.0742, 66.55, 63.13, 67.71, 1.052, 
2016-02-01 01:30:00, WM01, 0.9498, 0.2171, 2.0797, 0.4458, 0.9735, 0.2154, 2.0796, 0.4685, 1.437, 0.5425, 2.4034, 0.4013, 2.2018, 1.4456, 2.7006, 0.3087, 2.2676, 1.4537, 3.0273, 0.3563, 359.25, 356.09, 24.17, 8.01, 284.63, 251.03, 332.03, 16.36, 21.14, 20.87, 21.81, 0.2484, 1.13, 1.044, 1.261, 0.038, 990.8, 990.5, 991.0, 0.1104, 70.3, 66.96, 71.7, 1.355, 
2016-02-01 01:40:00, WM01, 1.3781, 0.2171, 1.7693, 0.3427, 1.3886, 0.2154, 1.7689, 0.3909, 1.1175, 0.5425, 1.473, 0.2221, 1.1431, 0.1905, 2.0731, 0.5215, 1.01, 0.1949, 2.0831, 0.574, 22.84, 356.63, 67.03, 34.73, 226.33, 221.73, 251.33, 9.15, 20.93, 20.78, 21.13, 0.0749, 1.314, 1.189, 1.441, 0.095, 990.6, 990.5, 990.7, 0.0541, 71.86, 71.05, 72.59, 0.361, 
