Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2016-06-01 00:10:00, WM01, 2.5174, 1.4589, 3.3214, 0.4309, 2.3977, 1.4582, 3.3224, 0.4201, 1.5319, 0.5425, 2.7135, 0.3647, 1.2435, 0.5043, 2.0731, 0.2874, 1.4657, 0.8243, 2.0831, 0.3147, 313.33, 340.952, 329.63, 8.31, 57.94, 55.25, 58.35, 0.166, 18.14, 17.75, 18.35, 0.1606, 1.045, 0.864, 1.153, 0.071, 999.5, 999.4, 999.6, 0.0479, 41.42, 37.7, 44.37, 1.381, 
2016-06-01 00:20:00, WM01, 3.1364, 1.4589, 3.6319, 0.4452, 2.9949, 1.4582, 3.6331, 0.4225, 2.0653, 0.8527, 2.7135, 0.3374, 1.5385, 1.1318, 2.0731, 0.224, 1.3549, 0.8243, 2.0831, 0.2197, 306.53, 295.53, 313.53, 4.704, 334.63, 341.71, 336.73, 17.84, 18.32, 18.04, 18.52, 0.1235, 0.766, 0.576, 1.08, 0.109, 999.3, 999.2, 999.5, 0.065, 40.49, 37.5, 43.79, 1.5, 
2016-06-01 00:30:00, WM01, 3.3227, 3.011, 3.6319, 0.1571, 3.2136, 3.0117, 3.6331, 0.1585, 2.2378, 1.7831, 2.7135, 0.2295, 1.701, 1.1318, 2.0731, 0.1713, 1.8396, 1.4537, 2.3979, 0.175, 312.23, 311.33, 313.43, 0.47, 348.66, 341.759, 355.77, 5.096, 18.34, 18.25, 18.42, 0.0319, 0.877, 0.756, 0.936, 0.041, 999.3, 999.2, 999.5, 0.0452, 39.93, 38.97, 41.12, 0.445, 
2016-06-01 00:40:00, WM01, 2.7999, 2.0797, 3.6319, 0.4309, 2.7028, 1.7689, 3.3224, 0.4151, 2.1708, 1.7831, 2.7135, 0.2177, 2.021, 1.4456, 2.7006, 0.236, 2.012, 1.4537, 2.3979, 0.1857, 321.63, 340.679, 336.53, 10.59, 359.63, 355.18, 18.78, 6.595, 18.32, 18.04, 18.52, 0.1349, 1.043, 0.864, 1.659, 0.282, 999.3, 999.2, 999.5, 0.048, 40.08, 38.08, 43.17, 1.409, 
2016-06-01 00:50:00, WM01, 2.1865, 1.7693, 2.7006, 0.2136, 2.1125, 1.7689, 2.701, 0.2063, 1.9617, 1.473, 2.4034, 0.1768, 2.1434, 1.7594, 2.7006, 0.1832, 2.6641, 2.0831, 3.0273, 0.236, 328.43, 342.592, 336.13, 3.973, 33.22, 18.78, 44.29, 5.058, 18.13, 18.01, 18.26, 0.0471, 1.353, 0.936, 1.659, 0.183, 999.3, 999.3, 999.5, 0.0468, 41.87, 40.33, 43.58, 0.9, 
2016-06-01 01:00:00, WM01, 1.8314, 1.1484, 2.3902, 0.2608, 1.7801, 1.1475, 2.3903, 0.2554, 1.6857, 1.1628, 2.0932, 0.183, 1.8911, 1.7594, 2.3869, 0.1569, 2.3148, 1.139, 2.7126, 0.2795, 326.23, 323.83, 329.03, 1.898, 32.48, 30.45, 39.48, 3.024, 18.04, 17.92, 18.16, 0.0468, 1.043, 0.792, 1.731, 0.256, 999.4, 999.3, 999.5, 0.0572, 43.11, 42.25, 43.65, 0.3662, 
2016-06-01 01:10:00, WM01, 1.9133, 1.1484, 2.7006, 0.2434, 1.8671, 1.1475, 2.3903, 0.2318, 1.5182, 0.5425, 2.0932, 0.2996, 1.6257, 0.8181, 2.3869, 0.2548, 1.9082, 1.139, 2.7126, 0.389, 318.53, 310.73, 328.03, 3.545, 54.04, 39.46, 74.83, 14.83, 17.97, 17.75, 18.13, 0.0977, 2.459, 1.731, 2.673, 0.224, 999.5, 999.4, 999.6, 0.0504, 43.31, 41.8, 44.78, 0.933, 
2016-06-01 01:20:00, WM01, 1.344, 0.838, 1.7693, 0.239, 1.2966, 0.8368, 1.7689, 0.2287, 0.7131, 0.2324, 1.473, 0.2655, 1.4468, 0.8181, 2.0731, 0.2642, 2.0315, 1.4537, 2.3979, 0.2323, 320.83, 320.43, 321.63, 0.231, 79.83, 74.13, 84.93, 5.257, 17.64, 17.48, 17.85, 0.0881, 2.02, 1.586, 2.419, 0.2, 999.5, 999.4, 999.6, 0.0571, 44.86, 43.58, 45.87, 0.5968, 
2016-06-01 01:30:00, WM01, 1.5892, 1.1484, 2.0797, 0.2502, 1.5421, 1.1475, 2.0796, 0.2399, 1.0853, 0.8527, 1.473, 0.1644, 1.0113, 0.8181, 1.4456, 0.1763, 1.5815, 1.139, 2.0831, 0.1926, 308.63, 306.73, 320.83, 4.624, 84.93, 84.63, 84.93, 0.082, 17.72, 17.53, 17.85, 0.0689, 1.633, 1.514, 1.803, 0.074, 999.5, 999.3, 999.6, 0.046, 44.85, 44.13, 45.98, 0.4893, 
2016-06-01 01:40:00, WM01, 1.2745, 0.838, 1.7693, 0.2397, 1.2326, 0.8368, 1.7689, 0.2305, 1.0325, 0.5425, 1.473, 0.2159, 1.0076, 0.8181, 1.4456, 0.1826, 1.7212, 1.139, 2.0831, 0.2681, 306.83, 306.73, 307.43, 0.152, 84.93, 84.73, 84.93, 0.087, 17.76, 17.7, 17.84, 0.0283, 1.803, 1.622, 1.948, 0.103, 999.4, 999.3, 999.5, 0.0609, 44.71, 44.4, 45.09, 0.1511, 
2016-06-01 01:50:00, WM01, 0.8051, 0.5276, 1.1484, 0.1589, 0.7591, 0.5261, 1.1475, 0.1628, 0.5177, 0.2324, 0.8527, 0.191, 0.7666, 0.5043, 1.1318, 0.1857, 1.5041, 1.139, 2.0831, 0.2241, 306.73, 306.73, 306.83, 0.028, 84.93, 84.93, 84.93, 0.077, 17.66, 17.48, 17.8, 0.076, 1.08, 0.468, 1.876, 0.476, 999.4, 999.3, 999.5, 0.045, 45.28, 44.71, 45.91, 0.3164, 
2016-06-01 02:00:00, WM01, 0.6486, 0.2171, 0.838, 0.1714, 0.6119, 0.2154, 0.8368, 0.1566, 0.3335, 0.2324, 1.1628, 0.2196, 0.9674, 0.5043, 1.7594, 0.2949, 1.4537, 0.8243, 2.0831, 0.2071, 306.73, 306.73, 306.83, 0.048, 84.93, 84.53, 84.93, 0.138, 17.47, 17.37, 17.58, 0.0345, 0.439, 0.288, 0.648, 0.119, 999.4, 999.3, 999.5, 0.0408, 46.04, 45.67, 46.52, 0.1946, 
2016-06-01 02:10:00, WM01, 0.8163, 0.2171, 1.4589, 0.303, 0.8617, 0.5261, 1.4582, 0.2622, 1.329, 0.8527, 1.7831, 0.2351, 2.0813, 1.4456, 2.3869, 0.2303, 2.2405, 1.7684, 2.7126, 0.2511, 306.93, 306.73, 307.33, 0.169, 77.23, 71.33, 84.83, 5.831, 17.45, 17.31, 17.55, 0.0511, 0.399, 0.216, 0.648, 0.125, 999.3, 999.2, 999.4, 0.0417, 46.23, 45.67, 46.76, 0.3048, 
2016-06-01 02:20:00, WM01, 1.1155, 0.5276, 2.3902, 0.4694, 1.1711, 0.5261, 2.3903, 0.4573, 1.8681, 1.473, 2.7135, 0.335, 1.9966, 1.4456, 2.7006, 0.31, 1.978, 1.4537, 3.6567, 0.5835, 323.13, 351.46, 330.23, 35.15, 70.23, 66.43, 71.53, 2.015, 17.58, 17.48, 17.7, 0.0467, 0.306, 0.072, 0.936, 0.217, 999.3, 999.2, 999.4, 0.0492, 45.18, 44.47, 45.94, 0.3904, 
2016-06-01 02:30:00, WM01, 2.1716, 1.7693, 2.7006, 0.1627, 2.2182, 1.7689, 2.701, 0.1665, 2.6918, 2.4034, 3.0237, 0.1731, 2.8117, 2.3869, 3.3282, 0.2008, 2.868, 2.0831, 3.6567, 0.3682, 48.53, 44.45, 54.92, 4.224, 66.73, 66.43, 67.13, 0.214, 17.66, 17.53, 17.92, 0.0916, 1.288, 0.864, 1.803, 0.287, 999.2, 999.1, 999.3, 0.0551, 44.38, 43.07, 45.43, 0.7305, 
