Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2015-05-01 00:10:00, WM01, 3.9001, 3.3214, 4.2527, 0.2099, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 91.13, 86.83, 99.43, 4.645, 101.43, 40.54, 118.93, 18.18, 13.47, 13.0, 14.25, 0.4358, 2.877, 2.383, 3.437, 0.366, 998.2, 998.0, 998.3, 0.0569, 63.54, 61.12, 65.39, 1.638, 
2015-05-01 00:20:00, WM01, 3.2656, 2.7006, 3.9423, 0.195, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 95.03, 89.63, 98.93, 2.448, 109.43, 93.63, 124.73, 6.886, 12.91, 12.69, 13.15, 0.1207, 2.144, 1.948, 2.383, 0.111, 998.2, 998.1, 998.3, 0.0427, 65.83, 65.15, 66.52, 0.3794, 
2015-05-01 00:30:00, WM01, 3.1271, 2.3902, 3.6319, 0.3315, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 93.73, 92.43, 95.53, 0.907, 96.43, 88.93, 108.83, 4.043, 13.01, 12.61, 13.68, 0.371, 2.287, 1.803, 2.964, 0.402, 998.2, 998.0, 998.3, 0.0536, 66.17, 63.62, 67.51, 1.321, 
2015-05-01 00:40:00, WM01, 2.6646, 1.7693, 3.3214, 0.3328, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 85.43, 81.73, 92.63, 3.58, 91.33, 89.83, 92.23, 0.706, 13.62, 13.27, 14.11, 0.2276, 2.753, 2.383, 3.001, 0.2, 998.1, 998.0, 998.2, 0.052, 63.63, 61.84, 64.78, 0.835, 
2015-05-01 00:50:00, WM01, 2.6043, 2.0797, 3.011, 0.231, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 79.83, 76.13, 84.63, 2.971, 94.83, 91.43, 105.03, 5.681, 13.23, 12.71, 13.57, 0.2187, 3.144, 2.964, 3.401, 0.137, 998.1, 998.0, 998.2, 0.0447, 64.92, 63.31, 66.76, 0.922, 
2015-05-01 01:00:00, WM01, 2.2678, 1.7693, 2.7006, 0.2403, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 77.63, 72.63, 83.63, 3.23, 104.53, 104.53, 105.03, 0.085, 13.58, 12.66, 14.35, 0.4397, 3.633, 3.109, 4.056, 0.266, 998.1, 998.0, 998.2, 0.0402, 63.45, 61.12, 66.42, 1.385, 
2015-05-01 01:10:00, WM01, 1.67, 1.1484, 2.3902, 0.2546, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 67.03, 56.18, 86.43, 8.92, 111.53, 104.53, 112.93, 2.97, 13.19, 12.53, 13.83, 0.3399, 3.565, 3.109, 3.984, 0.203, 998.0, 998.0, 998.1, 0.0453, 65.17, 62.7, 67.45, 1.361, 
2015-05-01 01:20:00, WM01, 1.3018, 0.5276, 1.7693, 0.285, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 63.63, 63.43, 63.63, 0.034, 112.93, 112.93, 112.93, 0.048, 12.26, 11.88, 13.08, 0.3965, 2.999, 2.456, 3.546, 0.319, 998.0, 998.0, 998.2, 0.0491, 68.29, 64.65, 70.29, 1.861, 
2015-05-01 01:30:00, WM01, 0.9572, 0.5276, 1.4589, 0.1763, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 63.63, 63.53, 63.63, 0.034, 126.03, 112.93, 150.53, 15.97, 12.04, 11.92, 12.17, 0.057, 1.997, 1.514, 2.456, 0.253, 998.0, 998.0, 998.1, 0.0428, 69.67, 69.06, 70.15, 0.2099, 
2015-05-01 01:40:00, WM01, 0.9144, 0.5276, 1.4589, 0.1863, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, NULL, 63.63, 63.53, 63.63, 0.034, 160.23, 150.43, 162.03, 3.168, 11.93, 11.83, 12.04, 0.0431, 1.136, 0.972, 1.514, 0.149, 998.0, 997.9, 998.2, 0.0509, 69.9, 69.44, 70.36, 0.2223, 
