Legend:
field,description,unit,height
WS_62,wind speed,m/s,62 m
WS_60,wind speed,m/s,60 m
WS_40,wind speed,m/s,40 m
WS_20,wind speed,m/s,20 m
WS_10,wind speed,m/s,10 m
WD_60,wind direction,°TN,60 m
WD_20,wind direction,°TN,20 m
Tair,air temperature,°C,60 m
Tgrad,air temperature difference,°C,60 m to 10 m
Pbaro,barometric pressure,hPa,6 m
RH,Relative Humidity,%,60 m

The fields are repeated 4 times for the mean; minimum; maximum and std. deviation; in that order.

date_time, Station_ID, WS_62_mean, WS_62_min, WS_62_max, WS_62_stdv, WS_60_mean, WS_60_min, WS_60_max, WS_60_stdv, WS_40_mean, WS_40_min, WS_40_max, WS_40_stdv, WS_20_mean, WS_20_min, WS_20_max, WS_20_stdv, WS_10_mean, WS_10_min, WS_10_max, WS_10_stdv, WD_60_mean, WD_60_min, WD_60_max, WD_60_stdv, WD_20_mean, WD_20_min, WD_20_max, WD_20_stdv, Tair_mean, Tair_min, Tair_max, Tair_stdv, Tgrad_mean, Tgrad_min, Tgrad_max, Tgrad_stdv, Pbaro_mean, Pbaro_min, Pbaro_max, Pbaro_stdv, RH_mean, RH_min, RH_max, RH_stdv, 
2014-04-01 00:10:00, WM01, 1.578, 1.1804, 1.8046, 0.1742, 1.528, 1.1634, 1.7866, 0.1726, 1.3583, 0.8633, 1.4883, 0.1581, 1.3145, 0.8672, 1.8029, 0.1647, 1.2934, 0.855, 1.4795, 0.1655, 219.53, 219.23, 219.73, 0.127, 226.93, 226.93, 226.93, 0.135, 14.46, 14.38, 14.55, 0.031, -0.342, -0.431, -0.287, 0.048, 999.0, 998.9, 999.1, 0.045, 89.1, 88.7, 89.4, 0.1854, 
2014-04-01 00:20:00, WM01, 1.4244, 1.1804, 1.8046, 0.1342, 1.3809, 1.1634, 1.475, 0.1427, 1.1764, 0.8633, 1.4883, 0.155, 1.1142, 0.8672, 1.491, 0.1934, 1.0298, 0.5427, 1.4795, 0.1805, 219.63, 219.43, 219.73, 0.101, 226.93, 226.93, 226.93, 0.133, 14.43, 14.36, 14.53, 0.0292, -0.313, -0.359, -0.287, 0.024, 999.0, 998.9, 999.1, 0.0445, 89.8, 89.3, 90.1, 0.2089, 
2014-04-01 00:30:00, WM01, 1.2259, 0.8682, 1.4925, 0.1292, 1.1896, 0.8518, 1.475, 0.1203, 1.0727, 0.8633, 1.4883, 0.1694, 1.0562, 0.5553, 1.491, 0.1647, 0.963, 0.5427, 1.4795, 0.1649, 219.63, 219.53, 219.73, 0.121, 226.93, 226.93, 226.93, 0.135, 14.41, 14.32, 14.5, 0.0335, -0.325, -0.431, -0.287, 0.035, 999.0, 998.8, 999.1, 0.0536, 90.2, 90.0, 90.5, 0.0868, 
2014-04-01 00:40:00, WM01, 1.0724, 0.5561, 1.4925, 0.1816, 1.065, 0.5402, 1.475, 0.1845, 1.1383, 0.8633, 1.4883, 0.1569, 0.9889, 0.5553, 1.1791, 0.1647, 0.9112, 0.5427, 1.1672, 0.1399, 219.53, 219.13, 219.73, 0.149, 226.93, 226.93, 226.93, 0.136, 14.41, 14.32, 14.5, 0.0309, -0.325, -0.431, -0.287, 0.031, 999.0, 998.8, 999.1, 0.0522, 90.5, 90.3, 90.8, 0.0964, 
2014-04-01 00:50:00, WM01, 1.4506, 1.1804, 1.8046, 0.123, 1.4283, 1.1634, 1.7866, 0.1221, 1.2977, 1.1758, 1.4883, 0.1525, 1.0013, 0.5553, 1.1791, 0.1722, 0.9093, 0.5427, 1.1672, 0.1605, 219.73, 219.73, 219.73, 0.074, 226.93, 226.93, 226.93, 0.136, 14.47, 14.39, 14.53, 0.028, -0.354, -0.431, -0.287, 0.043, 999.0, 998.9, 999.1, 0.0345, 91.1, 90.6, 91.4, 0.1575, 
2014-04-01 01:00:00, WM01, 1.3033, 0.8682, 1.8046, 0.1629, 1.2775, 0.8518, 1.7866, 0.1583, 1.2214, 0.8633, 1.4883, 0.1506, 1.0263, 0.5553, 1.491, 0.1641, 0.9174, 0.5427, 1.1672, 0.1674, 219.73, 219.63, 219.73, 0.034, 226.93, 226.93, 226.93, 0.135, 14.45, 14.36, 14.55, 0.0291, -0.43, -0.431, -0.395, 0.005, 999.0, 998.9, 999.1, 0.0422, 91.5, 91.2, 91.7, 0.1182, 
2014-04-01 01:10:00, WM01, 1.1573, 0.8682, 1.4925, 0.1767, 1.1217, 0.8518, 1.475, 0.1658, 1.1058, 0.5509, 1.4883, 0.1575, 0.9471, 0.5553, 1.1791, 0.1641, 0.9112, 0.5427, 1.1672, 0.1618, 219.63, 219.23, 219.73, 0.107, 226.93, 226.93, 226.93, 0.135, 14.45, 14.37, 14.53, 0.028, -0.437, -0.467, -0.431, 0.013, 999.1, 998.9, 999.2, 0.054, 91.7, 91.5, 91.8, 0.0559, 
2014-04-01 01:20:00, WM01, 1.0212, 0.5561, 1.4925, 0.1773, 1.0201, 0.5402, 1.475, 0.1751, 1.1995, 0.8633, 1.4883, 0.1237, 1.1716, 0.8672, 1.491, 0.1404, 1.0873, 0.5427, 1.4795, 0.1811, 219.53, 219.13, 219.73, 0.12, 227.03, 226.93, 227.93, 0.254, 14.48, 14.38, 14.58, 0.0325, -0.45, -0.574, -0.431, 0.027, 999.1, 998.9, 999.2, 0.0638, 91.5, 91.3, 91.8, 0.1178, 
2014-04-01 01:30:00, WM01, 1.1367, 0.5561, 1.4925, 0.2166, 1.1366, 0.5402, 1.475, 0.2156, 1.337, 1.1758, 1.4883, 0.1562, 1.3151, 1.1791, 1.491, 0.1547, 1.2597, 0.855, 1.4795, 0.1493, 219.63, 219.13, 219.73, 0.117, 270.83, 227.93, 303.83, 37.59, 14.52, 14.44, 14.6, 0.0315, -0.429, -0.467, -0.395, 0.01, 998.9, 998.8, 999.0, 0.0559, 91.1, 90.8, 91.5, 0.0939, 
2014-04-01 01:40:00, WM01, 0.6448, 0.244, 1.1804, 0.1791, 0.6692, 0.2286, 1.1634, 0.1732, 1.0227, 0.8633, 1.4883, 0.1662, 1.0868, 0.8672, 1.491, 0.1472, 1.0373, 0.855, 1.1672, 0.1543, 219.23, 219.13, 219.53, 0.163, 303.83, 303.83, 303.83, 0.122, 14.55, 14.46, 14.63, 0.0325, -0.416, -0.431, -0.287, 0.033, 998.9, 998.8, 999.0, 0.0461, 90.5, 90.2, 90.9, 0.2043, 
2014-04-01 01:50:00, WM01, 1.0461, 0.5561, 1.4925, 0.2672, 1.0637, 0.5402, 1.475, 0.2655, 1.4089, 0.8633, 1.8007, 0.2937, 1.4523, 0.8672, 2.1148, 0.277, 1.369, 0.855, 1.7918, 0.2486, 219.43, 219.13, 219.73, 0.204, 321.43, 340.628, 331.43, 19.43, 14.61, 14.51, 14.68, 0.0279, -0.318, -0.395, -0.287, 0.026, 998.9, 998.8, 999.0, 0.0613, 90.2, 90.0, 90.4, 0.0922, 
2014-04-01 02:00:00, WM01, 1.6997, 1.1804, 2.1167, 0.1916, 1.6994, 1.1634, 2.0982, 0.1876, 1.887, 1.4883, 2.1132, 0.1512, 1.8921, 1.491, 2.1148, 0.1584, 1.7562, 1.4795, 2.1041, 0.1143, 235.53, 219.73, 311.13, 37.44, 357.97, 354.29, 0.44, 2.129, 14.61, 14.51, 14.7, 0.0296, -0.296, -0.359, -0.251, 0.02, 998.8, 998.6, 998.9, 0.0536, 90.2, 90.0, 90.4, 0.1202, 
2014-04-01 02:10:00, WM01, 1.8389, 1.4925, 2.4288, 0.1742, 1.8222, 1.475, 2.4098, 0.1801, 1.9364, 1.4883, 2.4257, 0.2025, 2.0543, 1.8029, 2.7386, 0.2165, 1.8356, 1.4795, 2.4164, 0.2417, 315.33, 341.722, 337.03, 10.34, 0.84, 0.26, 5.25, 1.243, 14.6, 14.53, 14.67, 0.0284, -0.262, -0.287, -0.215, 0.024, 998.7, 998.5, 998.8, 0.0774, 90.0, 89.6, 90.4, 0.2059, 
2014-04-01 02:20:00, WM01, 1.661, 1.1804, 2.4288, 0.2484, 1.7449, 1.475, 2.4098, 0.2119, 2.0176, 1.4883, 2.4257, 0.2056, 2.1179, 1.491, 2.7386, 0.2383, 1.6919, 0.855, 2.4164, 0.3623, 0.61, 346.888, 1.24, 2.442, 6.69, 5.25, 7.69, 0.799, 14.63, 14.51, 14.71, 0.0323, -0.154, -0.287, 0.0, 0.113, 998.6, 998.5, 998.7, 0.0459, 89.2, 88.8, 89.8, 0.2238, 
2014-04-01 02:30:00, WM01, 1.4612, 1.1804, 1.8046, 0.1579, 1.4457, 1.1634, 1.7866, 0.1602, 1.5008, 1.1758, 1.8007, 0.1781, 1.6457, 1.1791, 2.1148, 0.1734, 1.2047, 0.855, 2.1041, 0.331, 1.18, 0.92, 1.22, 0.066, 7.65, 7.61, 7.66, 0.11, 14.64, 14.55, 14.72, 0.0319, 0.002, 0.0, 0.036, 0.008, 998.6, 998.5, 998.8, 0.0553, 89.4, 89.1, 89.6, 0.0777, 
2014-04-01 02:40:00, WM01, 1.5405, 1.1804, 1.8046, 0.1866, 1.5137, 1.1634, 1.7866, 0.1907, 1.5776, 0.8633, 1.8007, 0.225, 1.6732, 1.1791, 2.1148, 0.2664, 1.1985, 0.5427, 1.7918, 0.2654, 1.12, 0.72, 1.22, 0.134, 12.84, 7.66, 13.76, 1.979, 14.63, 14.54, 14.71, 0.0277, 0.089, 0.0, 0.144, 0.057, 998.6, 998.5, 998.7, 0.0536, 89.5, 89.2, 89.8, 0.1174, 
